,ID,full_name,first_apperance,description,image
23,1011120,Albion,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
24,1010836,Alex Power,35509,null,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82/portrait_incredible.jpg
25,1010755,Alex Wilder,15061,Despite being the only one of the Runaways without any superhuman abilities or tech Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect as well as prodigylevel logic and strategy.,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a/portrait_incredible.jpg
26,1011214,Alexa Mendez,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
27,1009497,Alexander Pierce,26285,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
28,1014990,Alice,null,null,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4cd061e6d6573/portrait_incredible.jpg
29,1009435,Alicia Masters,17460,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c003d40ac7ae/portrait_incredible.jpg
30,1010370,Alpha Flight,39654,null,http://i.annihil.us/u/prod/marvel/i/mg/1/60/52695277ee088/portrait_incredible.jpg
31,1011324,Alpha Flight (Ultimate),null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
32,1011164,Alvin Maker,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
33,1011227,Amadeus Cho,38496,null,http://i.annihil.us/u/prod/marvel/i/mg/3/80/520288b9cb581/portrait_incredible.jpg
34,1009567,Amanda Sefton,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
35,1011382,Amazoness,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
36,1011361,American Eagle (Jason Strongbow),10105,null,http://i.annihil.us/u/prod/marvel/i/mg/f/80/4ce5a6d8b8f2a/portrait_incredible.jpg
37,1009151,Amiko,13722,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
38,1010672,Amora,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
39,1010673,Amphibian (Earth-712),3908,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
40,1010905,Amun,null,Amun is a ruthless teenage assassin employed by the Sisterhood of the Wasp to serve under the mage Vincent after Araa interrupted the ritual to initiate the Wasps new chosen one.,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
41,1009152,Ancient One,20234,null,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/4ce59ea2103ac/portrait_incredible.jpg
42,1016824,Ancient One (Ultimate),15771,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
43,1011396,Angel (Thomas Halloway),20636,null,http://i.annihil.us/u/prod/marvel/i/mg/d/03/531769834b15f/portrait_incredible.jpg
44,1011338,Angel (Ultimate),15715,null,http://i.annihil.us/u/prod/marvel/i/mg/4/50/531769ae4399f/portrait_incredible.jpg
45,1009153,Angel (Warren Worthington III),21197,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
46,1017574,Angela (Aldrif Odinsdottir),51201,null,http://i.annihil.us/u/prod/marvel/i/mg/7/00/545a82f59dd73/portrait_incredible.jpg
47,1010674,Anita Blake,5912,null,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0038fa14452/portrait_incredible.jpg
48,1009346,Anne Marie Hoag,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
49,1009154,Annihilus,2055,null,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/528d31f20a2f6/portrait_incredible.jpg
50,1011301,Anole,24173,null,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e635ddd9/portrait_incredible.jpg
51,1010802,Ant-Man (Eric O'Grady),36765,null,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/53176aa9df48d/portrait_incredible.jpg
52,1010801,Ant-Man (Scott Lang),17749,null,http://i.annihil.us/u/prod/marvel/i/mg/e/20/52696868356a0/portrait_incredible.jpg
53,1011208,Anthem,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
54,1009156,Apocalypse,7459,null,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/526166076a1d0/portrait_incredible.jpg
55,1011253,Apocalypse (Ultimate),null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
56,1010866,Aqueduct,null,null,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c0035b3630cd/portrait_incredible.jpg
57,1010773,Arachne,37899,null,http://i.annihil.us/u/prod/marvel/i/mg/b/70/5269526591794/portrait_incredible.jpg
58,1017438,Araña,2311,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
59,1009158,Arcade,17712,null,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0042091ab69/portrait_incredible.jpg
60,1010686,Arcana,3908,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
61,1009159,Archangel,17701,null,http://i.annihil.us/u/prod/marvel/i/mg/8/03/526165ed93180/portrait_incredible.jpg
62,1009160,Arclight,26024,null,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c0042067fd8b/portrait_incredible.jpg
63,1010784,Ares,24348,null,http://i.annihil.us/u/prod/marvel/i/mg/c/10/535ff3daea603/portrait_incredible.jpg
64,1011275,Argent,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
65,1011012,Armadillo,null,null,http://i.annihil.us/u/prod/marvel/i/mg/2/40/4c0032754da02/portrait_incredible.jpg
66,1011298,Armor (Hisako Ichiki),21511,null,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e6cbf990/portrait_incredible.jpg
67,1010827,Armory,17293,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
68,1009740,Arnim Zola,5402,The frail dwarfish Arnim Zola was born in s Switzerland where he became the worlds leading biochemist and genetic engineer.,http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c00393a4cb7c/portrait_incredible.jpg
69,1010748,Arsenic,null,null,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c00359a2be7b/portrait_incredible.jpg
70,1009161,Artiee,35509,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
71,1010718,Asgardian,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
72,1009162,Askew-Tronics,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
73,1010835,Asylum,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
74,1010336,Atlas (Team),17493,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
75,1009163,Aurora,17701,null,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c004203f1072/portrait_incredible.jpg
76,1009164,Avalanche,6929,null,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c0042010d383/portrait_incredible.jpg
77,1009165,Avengers,42539,Earths Mightiest Heroes joined forces to take on threats that were too big for any one hero to tackle. With a roster that has included Captain America Iron Man AntMan Hulk Thor Wasp and dozens more over the years the Avengers have come to be regarded as Earths No.  team.,http://i.annihil.us/u/prod/marvel/i/mg/9/20/5102c774ebae7/portrait_incredible.jpg
78,1015239,Avengers (Ultimate),30597,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
79,1011766,Azazel (Mutant),13969,A mutant from biblical times Azazel is the ruler of the Neyaphem and claims that the Earth and everything on it belongs to him.,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
80,1009168,Banshee,12676,null,http://i.annihil.us/u/prod/marvel/i/mg/b/03/52740e4619f54/portrait_incredible.jpg
81,1009596,Banshee (Theresa Rourke),7426,The daughter of former XMen member Sean Cassidy a.k.a. Banshee and Maeve Rourke Theresa Rourke was raised by her first cousin once removed mutant terrorist Thomas Cassidy a.k.a. Black Tom.,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4ce5a1a50e56b/portrait_incredible.jpg
82,1009169,Baron Strucker,12848,null,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0041fb5a90d/portrait_incredible.jpg
83,1009170,Baron Zemo (Heinrich Zemo),7310,null,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c0041f84c9fe/portrait_incredible.jpg
84,1010906,Baron Zemo (Helmut Zemo),7739,null,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035890fb0a/portrait_incredible.jpg
85,1011137,Baroness S'Bak,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
86,1011354,Barracuda,41071,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
87,1009550,Bart Rozum,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
88,1009171,Bastion,7422,null,http://i.annihil.us/u/prod/marvel/i/mg/d/80/52695253215f4/portrait_incredible.jpg
89,1009172,Batroc the Leaper,36945,null,http://i.annihil.us/u/prod/marvel/i/mg/c/80/4ce59eb840da5/portrait_incredible.jpg
90,1009173,Battering Ram,17961,null,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708/portrait_incredible.jpg
91,1009174,Beak,5451,null,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c0040b8329ad/portrait_incredible.jpg
92,1009175,Beast,44580,null,http://i.annihil.us/u/prod/marvel/i/mg/2/80/511a79a0451a3/portrait_incredible.jpg
93,1010909,Beast (Earth-311),null,null,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035813dc4c/portrait_incredible.jpg
94,1010908,Beast (Ultimate),15770,null,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/53176a9be110c/portrait_incredible.jpg
95,1009176,Becatron,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
96,1009177,Bedlam,17506,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
97,1009178,Beef,13822,null,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708/portrait_incredible.jpg
98,1009179,Beetle (Abner Jenkins),13151,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
99,1009329,Ben Grimm,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
100,1009489,Ben Parker,24407,null,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c003d00c8ed9/portrait_incredible.jpg
101,1011346,Ben Reilly,6809,Ben Reilly was the most genetically stable of the many clones of SpiderMan created by Professor Miles Warren the Jackal.,http://i.annihil.us/u/prod/marvel/i/mg/2/20/4ce5a6abaea69/portrait_incredible.jpg
102,1010782,Ben Urich,37255,Ben Urich is a reporter for the Daily Bugle who has many ties to the citys superhero community.,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c00373d10e5e/portrait_incredible.jpg
103,1010829,Bengal,20679,null,http://i.annihil.us/u/prod/marvel/i/mg/3/70/5269523ee6c03/portrait_incredible.jpg
104,1009180,Beta-Ray Bill,36644,null,http://i.annihil.us/u/prod/marvel/i/mg/3/90/52602f3e88d25/portrait_incredible.jpg
105,1010325,Betty Brant,37255,null,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4c7c644f453fb/portrait_incredible.jpg
106,1009548,Betty Ross,29378,null,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/4ce5a12071562/portrait_incredible.jpg
107,1011138,Beyonder,10374,null,http://i.annihil.us/u/prod/marvel/i/mg/7/10/528d31df87c49/portrait_incredible.jpg
108,1011296,Bi-Beast,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
109,1010843,Big Bertha,8463,null,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4c0035cfca8b6/portrait_incredible.jpg
110,1009181,Big Wheel,6575,null,http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c0040b26877d/portrait_incredible.jpg
111,1011262,Bill Hollister,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
112,1009182,Bishop,17701,null,http://i.annihil.us/u/prod/marvel/i/mg/3/70/52602f4b42d98/portrait_incredible.jpg
113,1011224,Bishop (Ultimate),null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
114,1009183,Black Bird,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
115,1009184,Black Bolt,7088,null,http://i.annihil.us/u/prod/marvel/i/mg/1/20/52696929dc721/portrait_incredible.jpg
116,1017330,Black Bolt (Marvel War of Heroes),null,null,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/5239c021b3bfc/portrait_incredible.jpg
117,1009185,Black Cat,6587,null,http://i.annihil.us/u/prod/marvel/i/mg/e/03/526952357d91c/portrait_incredible.jpg
118,1010910,Black Cat (Ultimate),37460,null,http://i.annihil.us/u/prod/marvel/i/mg/5/80/4c00357da502e/portrait_incredible.jpg
119,1010859,Black Crow,20185,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
120,1009186,Black Knight (Sir Percy of Scandia),12725,null,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59ed1590a7/portrait_incredible.jpg
121,1009187,Black Panther,43498,null,http://i.annihil.us/u/prod/marvel/i/mg/6/60/5261a80a67e7d/portrait_incredible.jpg
122,1011130,Black Panther (Ultimate),17378,null,http://i.annihil.us/u/prod/marvel/i/mg/6/20/53176a7b3a4e4/portrait_incredible.jpg
123,1010356,Black Queen,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
124,1010687,Black Tarantula,5997,null,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0038dfc1270/portrait_incredible.jpg
125,1009188,Black Tom,20565,null,http://i.annihil.us/u/prod/marvel/i/mg/f/70/4c0040a736154/portrait_incredible.jpg
126,1009189,Black Widow,43495,null,http://i.annihil.us/u/prod/marvel/i/mg/f/30/50fecad1f395b/portrait_incredible.jpg
127,1017296,Black Widow (LEGO Marvel Super Heroes),null,null,http://i.annihil.us/u/prod/marvel/i/mg/6/30/5239c3722bdc5/portrait_incredible.jpg
128,1010911,Black Widow (Ultimate),15773,null,http://i.annihil.us/u/prod/marvel/i/mg/2/03/53176a690b261/portrait_incredible.jpg
129,1017109,Black Widow/Natasha Romanoff (MAA),null,Natasha Romanoff also known as Black Widow is a worldrenowned super spy and one of S.H.I.E.L.D.s top agents. Her handtohand combat skills intelligence and unpredictability make her a deadly secret weapon. True to her mysterious nature Black Widow comes and goes as she pleases but always appears exactly when her particular skills are needed.,http://i.annihil.us/u/prod/marvel/i/mg/a/03/523219743a99b/portrait_incredible.jpg
130,1009190,Blackheart,8263,null,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/4c0040a0ee5ba/portrait_incredible.jpg
131,1010881,Blacklash,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
132,1011349,Blackout,23373,null,http://i.annihil.us/u/prod/marvel/i/mg/c/60/4ce5a6b641eb9/portrait_incredible.jpg
133,1009191,Blade,5133,null,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/523ca6f2b11e4/portrait_incredible.jpg
134,1009195,Blastaar,37902,null,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/52695222c22e0/portrait_incredible.jpg
135,1010830,Blazing Skull,1687,null,http://i.annihil.us/u/prod/marvel/i/mg/8/d0/4ce5a37a830a3/portrait_incredible.jpg
136,1011291,Blindfold,null,null,http://i.annihil.us/u/prod/marvel/i/mg/5/10/4ce5a5f7cabea/portrait_incredible.jpg
137,1009197,Blink,17870,null,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4ce59eeb38a9a/portrait_incredible.jpg
138,1009198,Blizzard,19915,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
139,1009199,Blob,6929,null,http://i.annihil.us/u/prod/marvel/i/mg/1/10/4c7c648178328/portrait_incredible.jpg
140,1011132,Blob (Ultimate),15721,null,http://i.annihil.us/u/prod/marvel/i/mg/9/00/4ce5a51b309b7/portrait_incredible.jpg
141,1009200,Blockbuster,7639,null,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4c0040969fa92/portrait_incredible.jpg
142,1009201,Blok,14102,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
143,1009202,Bloke,17962,null,http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c00409415b3b/portrait_incredible.jpg
144,1011416,Blonde Phantom,40360,null,http://i.annihil.us/u/prod/marvel/i/mg/6/00/4ce5a77360c30/portrait_incredible.jpg
145,1011073,Bloodaxe,11778,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
146,1009203,Bloodscream,14201,null,http://i.annihil.us/u/prod/marvel/i/mg/6/e0/4c7c647c3f069/portrait_incredible.jpg
147,1009204,Bloodstorm,10493,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
148,1010850,Bloodstrike,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
149,1011113,Blue Blade,16701,null,http://i.annihil.us/u/prod/marvel/i/mg/b/e0/4ce5a4b76d1c0/portrait_incredible.jpg
150,1011339,Blue Marvel,24348,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
151,1011264,Blue Shield,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
152,1010688,Blur,3908,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
153,1011119,"Bob, Agent of Hydra",21845,A cowardly young man Bob was persuaded into joining the criminal organization HYDRA and has had numerous encounters with Deadpool and other Marvel heroes.,http://i.annihil.us/u/prod/marvel/i/mg/e/a0/4ce5a4c2cd41b/portrait_incredible.jpg
154,1010366,Boom Boom,10339,When Tabitha Smiths mutant nature manifested at age  she ran away from her abusive home and eventually hooked up with the New Mutants and subsequently XForce.,http://i.annihil.us/u/prod/marvel/i/mg/6/00/4ce5a25d34245/portrait_incredible.jpg
155,1009205,Boomer,7395,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
156,1010371,Boomerang,15869,null,http://i.annihil.us/u/prod/marvel/i/mg/2/30/4c00390504a3b/portrait_incredible.jpg
157,1009206,Box,12693,null,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/4ce59ef63362d/portrait_incredible.jpg
158,1011236,Bride of Nine Spiders (Immortal Weapons),16534,null,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/4ce5a592212cc/portrait_incredible.jpg
159,1014981,Bromley,null,null,http://i.annihil.us/u/prod/marvel/i/mg/c/00/4cd05b51df5c5/portrait_incredible.jpg
160,1009208,Brood,15853,null,http://i.annihil.us/u/prod/marvel/i/mg/d/40/5260321259f91/portrait_incredible.jpg
161,1011090,Brother Voodoo,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
162,1009209,Brotherhood of Evil Mutants,20318,null,http://i.annihil.us/u/prod/marvel/i/mg/3/30/539f01b910d91/portrait_incredible.jpg
163,1014973,Brotherhood of Mutants (Ultimate),15743,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
164,1009167,Bruce Banner,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
165,1009210,Brute,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
166,1009211,Bucky,22273,null,http://i.annihil.us/u/prod/marvel/i/mg/d/03/4dc8478464008/portrait_incredible.jpg
167,1011038,Bug,22433,null,http://i.annihil.us/u/prod/marvel/i/mg/8/30/4c00323e50dda/portrait_incredible.jpg
168,1010887,Bulldozer,17496,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
169,1009212,Bullseye,12695,null,http://i.annihil.us/u/prod/marvel/i/mg/6/30/539a08f322fd1/portrait_incredible.jpg
170,1009213,Bushwacker,8239,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
171,1011101,Butterfly,null,null,http://i.annihil.us/u/prod/marvel/i/mg/8/00/4c0030b5dbc50/portrait_incredible.jpg
172,1009214,Cable,39772,null,http://i.annihil.us/u/prod/marvel/i/mg/3/90/526165df2b584/portrait_incredible.jpg
173,1017317,Cable (Deadpool),null,null,http://i.annihil.us/u/prod/marvel/i/mg/f/50/5239c22332b00/portrait_incredible.jpg
174,1017307,Cable (Marvel: Avengers Alliance),null,null,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/5239b5f863d43/portrait_incredible.jpg
175,1011252,Cable (Ultimate),null,null,http://i.annihil.us/u/prod/marvel/i/mg/c/10/53176a2ccd8bc/portrait_incredible.jpg
176,1017472,Cable (X-Men: Battle of the Atom),null,null,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/52d729bb9b84b/portrait_incredible.jpg
177,1011209,Calamity,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
178,1009216,Caliban,7390,null,http://i.annihil.us/u/prod/marvel/i/mg/f/60/52bc8ac6e48db/portrait_incredible.jpg
179,1009217,Callisto,10550,null,http://i.annihil.us/u/prod/marvel/i/mg/f/90/4c004082711b8/portrait_incredible.jpg
180,1010912,Callisto (Age of Apocalypse),null,null,http://i.annihil.us/u/prod/marvel/i/mg/f/c0/535feb96ee0fb/portrait_incredible.jpg
181,1009218,Calypso,8308,null,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59f17087ab/portrait_incredible.jpg
182,1011139,Cammi,null,null,http://i.annihil.us/u/prod/marvel/i/mg/d/a0/4c00309587477/portrait_incredible.jpg
183,1009219,Cannonball,23645,null,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c00407fb91b5/portrait_incredible.jpg
184,1011276,Cap'n Oz,null,William was born into the ClanDestine making him a creature that is part magic.  After events surrounding the death of his brother Vincent he moved to Australia where he started an acting career as the superhero Capn Oz.,http://i.annihil.us/u/prod/marvel/i/mg/c/10/4c002ee7bf3f5/portrait_incredible.jpg
185,1009220,Captain America,17741,Vowing to serve his country any way he could young Steve Rogers took the super soldier serum to become Americas oneman army. Fighting for the red white and blue for over  years Captain America is the living breathing symbol of freedom and liberty.,http://i.annihil.us/u/prod/marvel/i/mg/3/50/537ba56d31087/portrait_incredible.jpg
186,1010914,Captain America (House of M),2420,null,http://i.annihil.us/u/prod/marvel/i/mg/6/10/53176a1e7c0d5/portrait_incredible.jpg
187,1017295,Captain America (LEGO Marvel Super Heroes),null,null,http://i.annihil.us/u/prod/marvel/i/mg/d/b0/5239c38051946/portrait_incredible.jpg
188,1017327,Captain America (Marvel War of Heroes),null,null,http://i.annihil.us/u/prod/marvel/i/mg/2/03/5239c005a4827/portrait_incredible.jpg
