ID,title,issueNumber,date,series_title,series_ID,price,,,,,,
57866,Captain America: Steve Rogers (2016) #2,2,2016-06-29T00:00:00-0400,Captain America: Steve Rogers (2016 - Present),21098,3.99,,,,,,
56057,Uncanny X-Men (2016) #9,9,2016-06-29T00:00:00-0400,Uncanny X-Men (2016 - Present),20612,3.99,,,,,,
58651,The Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016) #4,4,2016-06-29T00:00:00-0400,The Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016 - Present),21407,4.99,,,,,,
55402,Darth Vader (2015) #22,22,2016-06-29T00:00:00-0400,Darth Vader (2015 - Present),19379,3.99,,,,,,
57298,Venom: Space Knight (2015) #9,9,2016-06-29T00:00:00-0400,Venom: Space Knight (2015 - Present),20896,3.99,,,,,,
56187,Star-Lord (2015) #8,8,2016-06-29T00:00:00-0400,Star-Lord (2015 - Present),20619,3.99,,,,,,
55364,"All-New, All-Different Avengers (2015) #11",11,2016-06-29T00:00:00-0400,"All-New, All-Different Avengers (2015 - Present)",20443,3.99,,,,
58409,Haunted Mansion (2016) #4,4,2016-06-29T00:00:00-0400,Haunted Mansion (2016 - Present),21285,3.99,,,,,,
52564,Spider-Man/Deadpool (2016) #6,6,2016-06-29T00:00:00-0400,Spider-Man/Deadpool (2016 - Present),19679,3.99,,,,,,
55699,Spider-Man (2016) #5,5,2016-06-29T00:00:00-0400,Spider-Man (2016 - Present),20508,3.99,,,,,,
52111,X-Men: Worst X-Man Ever (2016) #5,5,2016-06-29T00:00:00-0400,X-Men: Worst X-Man Ever (2016 - Present),19512,3.99,,,,,,
52869,Uncanny Inhumans (2015) #11,11,2016-06-29T00:00:00-0400,Uncanny Inhumans (2015 - Present),19780,3.99,,,,,,
56204,The Unbeatable Squirrel Girl (2015) #9,9,2016-06-29T00:00:00-0400,The Unbeatable Squirrel Girl (2015 - Present),20620,3.99,,,,,,
55443,Extraordinary X-Men (2015) #11,11,2016-06-29T00:00:00-0400,Extraordinary X-Men (2015 - Present),20460,3.99,,,,,,
55423,Doctor Strange (2015) #9,9,2016-06-22T00:00:00-0400,Doctor Strange (2015 - Present),20457,3.99,,,,,,
58985,Deadpool Vs. Gambit (2016) #1,1,2016-06-22T00:00:00-0400,Deadpool Vs. Gambit (2016 - Present),21488,3.99,,,,,,
58997,Gwenpool (2016) #3,3,2016-06-22T00:00:00-0400,Gwenpool (2016 - Present),21490,3.99,,,,,,
59016,Star Wars: The Force Awakens Adaptation (2016) #1,1,2016-06-22T00:00:00-0400,Star Wars: The Force Awakens Adaptation (2016 - Present),21493,4.99,,,,,,
56610,Carnage (2015) #9,9,2016-06-22T00:00:00-0400,Carnage (2015 - Present),20720,3.99,,,,,,
56222,Uncanny Avengers (2015) #10,10,2016-06-22T00:00:00-0400,Uncanny Avengers (2015 - Present),20621,3.99,,,,,,
56564,Captain America: Sam Wilson (2015) #10,10,2016-06-22T00:00:00-0400,Captain America: Sam Wilson (2015 - Present),20711,3.99,,,,,,
58766,Nighthawk (2016) #2,2,2016-06-22T00:00:00-0400,Nighthawk (2016 - Present),21435,3.99,,,,,,
57954,Power Man and Iron Fist (2016) #5,5,2016-06-22T00:00:00-0400,Power Man and Iron Fist (2016 - Present),21122,3.99,,,,,,
56872,Drax (2015) #8,8,2016-06-22T00:00:00-0400,Drax (2015 - Present),20801,3.99,,,,,,
59351,Moon Girl and Devil Dinosaur (2015) #8,8,2016-06-22T00:00:00-0400,Moon Girl and Devil Dinosaur (2015 - Present),20839,3.99,,,,,,
56496,Amazing Spider-Man (2015) #1.6,1.6,2016-06-22T00:00:00-0400,Amazing Spider-Man (2015 - Present),20694,3.99,,,,,,
56089,The Totally Awesome Hulk (2015) #7,7,2016-06-22T00:00:00-0400,The Totally Awesome Hulk (2015 - Present),20614,3.99,,,,,,
59666,Timely Comics: The Totally Awesome Hulk (2016) #1,1,2016-06-22T00:00:00-0400,Timely Comics: The Totally Awesome Hulk (2016 - Present),21711,3,,,,,,
55795,Mighty Thor (2015) #8,8,2016-06-22T00:00:00-0400,Mighty Thor (2015 - Present),20527,3.99,,,,,,
57333,Web Warriors (2015) #8,8,2016-06-22T00:00:00-0400,Web Warriors (2015 - Present),20900,3.99,,,,,,
57147,Spidey (2015) #7,7,2016-06-15T00:00:00-0400,Spidey (2015 - Present),20861,3.99,,,,,,
59481,Guardians of Infinity (2015) #7,7,2016-06-15T00:00:00-0400,Guardians of Infinity (2015 - Present),20807,4.99,,,,,,
55543,International Iron Man (2016) #4,4,2016-06-15T00:00:00-0400,International Iron Man (2016 - Present),20477,3.99,,,,,,
58679,Civil War II (2016) (2016) #2,2,2016-06-15T00:00:00-0400,Civil War II (2016) (2016 - Present),21417,4.99,,,,,,
52868,Uncanny Inhumans (2015) #10,10,2016-06-15T00:00:00-0400,Uncanny Inhumans (2015 - Present),19780,3.99,,,,,,
55312,Amazing Spider-Man (2015) #14,14,2016-06-15T00:00:00-0400,Amazing Spider-Man (2015 - Present),20432,3.99,,,,,,
59625,Civil War II: X-Men (2016) #1,1,2016-06-15T00:00:00-0400,Civil War II: X-Men (2016 - Present),21696,3.99,,,,,,
56078,Deadpool (2015) #14,14,2016-06-15T00:00:00-0400,Deadpool (2015 - Present),20613,3.99,,,,,,
56415,All-New Inhumans (2015) #8,8,2016-06-15T00:00:00-0400,All-New Inhumans (2015 - Present),20681,3.99,,,,,,
55648,Silk (2015) #9,9,2016-06-15T00:00:00-0400,Silk (2015 - Present),20499,3.99,,,,,,
57068,"Patsy Walker, A.K.A. Hellcat! (2015) #7",7,2016-06-15T00:00:00-0400,"Patsy Walker, A.K.A. Hellcat! (2015 - Present)",20845,3.99,,,,
55341,The Astonishing Ant-Man (2015) #9,9,2016-06-15T00:00:00-0400,The Astonishing Ant-Man (2015 - Present),20437,3.99,,,,,,
56056,Uncanny X-Men (2016) #8,8,2016-06-15T00:00:00-0400,Uncanny X-Men (2016 - Present),20612,3.99,,,,,,
57048,Nova (2015) #8,8,2016-06-15T00:00:00-0400,Nova (2015 - Present),20844,3.99,,,,,,
55378,Black Widow (2016) #4,4,2016-06-15T00:00:00-0400,Black Widow (2016 - Present),20448,3.99,,,,,,
55769,Star Wars (2015) #20,20,2016-06-15T00:00:00-0400,Star Wars (2015 - Present),19242,3.99,,,,,,
57103,Scarlet Witch (2015) #7,7,2016-06-15T00:00:00-0400,Scarlet Witch (2015 - Present),20854,3.99,,,,,,
47114,Scarlet (2010) #10,10,2016-06-15T00:00:00-0400,Scarlet (2010 - Present),12212,3.95,,,,,,
57384,Black Panther (2016) #3,3,2016-06-15T00:00:00-0400,Black Panther (2016 - Present),20912,3.99,,,,,,
55746,Squadron Supreme (2015) #8,8,2016-06-15T00:00:00-0400,Squadron Supreme (2015 - Present),20517,3.99,,,,,,
56589,Captain Marvel (2016) #6,6,2016-06-15T00:00:00-0400,Captain Marvel (2016 - Present),20718,3.99,,,,,,
56239,All-New X-Men (2015) #10,10,2016-06-08T00:00:00-0400,All-New X-Men (2015 - Present),20622,3.99,,,,,,
57297,Venom: Space Knight (2015) #8,8,2016-06-08T00:00:00-0400,Venom: Space Knight (2015 - Present),20896,3.99,,,,,,
59612,Civil War II: Gods of War (2016) #1,1,2016-06-08T00:00:00-0400,Civil War II: Gods of War (2016 - Present),21693,3.99,,,,,,
57607,Deadpool & The Mercs For Money (2016) #5,5,2016-06-08T00:00:00-0400,Deadpool & The Mercs For Money (2016 - Present),19394,3.99,,,,,,
56034,Agents of S.H.I.E.L.D. (2016) #6,6,2016-06-08T00:00:00-0400,Agents of S.H.I.E.L.D. (2016 - Present),20607,3.99,,,,,,
55685,Spider-Gwen (2015) #9,9,2016-06-08T00:00:00-0400,Spider-Gwen (2015 - Present),20505,3.99,,,,,,
59420,New Avengers (2015) #12,12,2016-06-08T00:00:00-0400,New Avengers (2015 - Present),20841,3.99,,,,,,
57236,Thunderbolts (2016) #2,2,2016-06-08T00:00:00-0400,Thunderbolts (2016 - Present),20884,3.99,,,,,,
55662,Silver Surfer (2016) #5,5,2016-06-08T00:00:00-0400,Silver Surfer (2016 - Present),20502,3.99,,,,,,
57988,Star Wars: Poe Dameron (2016) #3,3,2016-06-08T00:00:00-0400,Star Wars: Poe Dameron (2016 - Present),21131,3.99,,,,,,
59602,Civil War II: Amazing Spider-Man (2016) #1,1,2016-06-08T00:00:00-0400,Civil War II: Amazing Spider-Man (2016 - Present),21691,3.99,,,,,,
55472,Guardians of the Galaxy (2015) #9,9,2016-06-08T00:00:00-0400,Guardians of the Galaxy (2015 - Present),20465,3.99,,,,,,
57262,Ultimates (2015) #8,8,2016-06-08T00:00:00-0400,Ultimates (2015 - Present),20890,3.99,,,,,,
56123,Ms. Marvel (2015) #8,8,2016-06-08T00:00:00-0400,Ms. Marvel (2015 - Present),20615,3.99,,,,,,
57316,Vision (2015) #8,8,2016-06-08T00:00:00-0400,Vision (2015 - Present),20897,3.99,,,,,,
55401,Darth Vader (2015) #21,21,2016-06-08T00:00:00-0400,Darth Vader (2015 - Present),19379,3.99,,,,,,
51623,Dark Tower: The Drawing of the Three - Bitter Medicine (2016) #3,3,2016-06-08T00:00:00-0400,Dark Tower: The Drawing of the Three - Bitter Medicine (2016 - Present),19367,3.99,,,,,,
56717,Daredevil (2015) #8,8,2016-06-08T00:00:00-0400,Daredevil (2015 - Present),20780,3.99,,,,,,
55531,Invincible Iron Man (2015) #10,10,2016-06-01T00:00:00-0400,Invincible Iron Man (2015 - Present),20476,3.99,,,,,,
55827,Contest of Champions (2015) #9,9,2016-06-01T00:00:00-0400,Contest of Champions (2015 - Present),20535,3.99,,,,,,
55363,"All-New, All-Different Avengers (2015) #10",10,2016-06-01T00:00:00-0400,"All-New, All-Different Avengers (2015 - Present)",20443,3.99,,,,
58630,A Year of Marvels: The Amazing (2016) #2,2,2016-06-01T00:00:00-0400,A Year of Marvels: The Amazing (2016 - Present),21404,4.99,,,,,,
52695,Han Solo (2016) #1,1,2016-06-01T00:00:00-0400,Han Solo (2016 - Present),19711,3.99,,,,,,
56171,Spider-Woman (2015) #8,8,2016-06-01T00:00:00-0400,Spider-Woman (2015 - Present),20618,3.99,,,,,,
57365,X-Men '92 (2016) #4,4,2016-06-01T00:00:00-0400,X-Men '92 (2016 - Present),20906,3.99,,,,,,
55723,Spider-Man 2099 (2015) #11,11,2016-06-01T00:00:00-0400,Spider-Man 2099 (2015 - Present),20511,3.99,,,,,,
58748,Marvel Universe Avengers Assemble: Civil War (2016) #4,4,2016-06-01T00:00:00-0400,Marvel Universe Avengers Assemble: Civil War (2016 - Present),21433,2.99,,,,,,
55579,Moon Knight (2016) #3,3,2016-06-01T00:00:00-0400,Moon Knight (2016 - Present),20488,3.99,,,,,,
59340,Empress (2016) #3,3,2016-06-01T00:00:00-0400,Empress (2016 - Present),21607,3.99,,,,,,
57215,The Punisher (2016) #2,2,2016-06-01T00:00:00-0400,The Punisher (2016 - Present),20879,3.99,,,,,,
39918,Brilliant (2011) #6,6,2016-06-01T00:00:00-0400,Brilliant (2011 - Present),14803,3.95,,,,,,
59870,Vote Loki (2016) #1,1,2016-06-01T00:00:00-0400,Vote Loki (2016 - Present),21839,3.99,,,,,,
56154,Old Man Logan (2016) #7,7,2016-06-01T00:00:00-0400,Old Man Logan (2016 - Present),20617,3.99,,,,,,
56017,A-Force (2016) #6,6,2016-06-01T00:00:00-0400,A-Force (2016 - Present),20606,3.99,,,,,,
58751,Marvel Universe Ultimate Spider-Man: Contest of Champions (2016) #3,3,2016-05-25T00:00:00-0400,Marvel Universe Ultimate Spider-Man: Contest of Champions (2016 - Present),21434,2.99,,,,,,
55442,Extraordinary X-Men (2015) #10,10,2016-05-25T00:00:00-0400,Extraordinary X-Men (2015 - Present),20460,3.99,,,,,,
56588,Captain Marvel (2016) #5,5,2016-05-25T00:00:00-0400,Captain Marvel (2016 - Present),20718,3.99,,,,,,
57352,Weirdworld (2015) #6,6,2016-05-25T00:00:00-0400,Weirdworld (2015 - Present),20903,3.99,,,,,,
55112,Marvel Universe Guardians of the Galaxy (2015) #8,8,2016-05-25T00:00:00-0400,Marvel Universe Guardians of the Galaxy (2015 - Present),20365,2.99,,,,,,
56871,Drax (2015) #7,7,2016-05-25T00:00:00-0400,Drax (2015 - Present),20801,3.99,,,,,,
57186,Starbrand & Nightmask (2015) #6,6,2016-05-25T00:00:00-0400,Starbrand & Nightmask (2015 - Present),20869,3.99,,,,,,
57785,Hyperion (2016) #3,3,2016-05-25T00:00:00-0400,Hyperion (2016 - Present),21034,3.99,,,,,,
59350,Moon Girl and Devil Dinosaur (2015) #7,7,2016-05-25T00:00:00-0400,Moon Girl and Devil Dinosaur (2015 - Present),20839,3.99,,,,,,
57067,"Patsy Walker, A.K.A. Hellcat! (2015) #6",6,2016-05-25T00:00:00-0400,"Patsy Walker, A.K.A. Hellcat! (2015 - Present)",20845,3.99,,,,
57864,Captain America: Steve Rogers (2016) #1,1,2016-05-25T00:00:00-0400,Captain America: Steve Rogers (2016 - Present),21098,4.99,,,,,,
52867,Uncanny Inhumans (2015) #9,9,2016-05-25T00:00:00-0400,Uncanny Inhumans (2015 - Present),19780,3.99,,,,,,
52563,Spider-Man/Deadpool (2016) #5,5,2016-05-25T00:00:00-0400,Spider-Man/Deadpool (2016 - Present),19679,3.99,,,,,,
58762,Nighthawk (2016) #1,1,2016-05-25T00:00:00-0400,Nighthawk (2016 - Present),21435,3.99,,,,,,
57734,Obi-Wan and Anakin (2016) #5,5,2016-05-25T00:00:00-0400,Obi-Wan and Anakin (2016 - Present),21020,3.99,,,,,,
52110,X-Men: Worst X-Man Ever (2016) #4,4,2016-05-25T00:00:00-0400,X-Men: Worst X-Man Ever (2016 - Present),19512,3.99,,,,,,
56203,The Unbeatable Squirrel Girl (2015) #8,8,2016-05-25T00:00:00-0400,The Unbeatable Squirrel Girl (2015 - Present),20620,3.99,,,,,,
57083,Red Wolf (2015) #6,6,2016-05-25T00:00:00-0400,Red Wolf (2015 - Present),20849,3.99,,,,,,
58832,Spider-Women Event Omega (2016) #1,1,2016-05-25T00:00:00-0400,Spider-Women Event Omega (2016 - Present),21442,4.99,,,,,,
55768,Star Wars (2015) #19,19,2016-05-25T00:00:00-0400,Star Wars (2015 - Present),19242,3.99,,,,,,
56716,Daredevil (2015) #7,7,2016-05-25T00:00:00-0400,Daredevil (2015 - Present),20780,3.99,,,,,,
56088,The Totally Awesome Hulk (2015) #6,6,2016-05-25T00:00:00-0400,The Totally Awesome Hulk (2015 - Present),20614,3.99,,,,,,
58221,Mockingbird (2016) #3,3,2016-05-25T00:00:00-0400,Mockingbird (2016 - Present),21245,3.99,,,,,,
56609,Carnage (2015) #8,8,2016-05-25T00:00:00-0400,Carnage (2015 - Present),20720,3.99,,,,,,
56076,Deadpool (2015) #12,12,2016-05-25T00:00:00-0400,Deadpool (2015 - Present),20613,3.99,,,,,,
43092,Brilliant (2011) #7,7,2016-05-20T00:00:00-0400,Brilliant (2011 - Present),14803,3.95,,,,,,
57953,Power Man and Iron Fist (2016) #4,4,2016-05-18T00:00:00-0400,Power Man and Iron Fist (2016 - Present),21122,3.99,,,,,,
56153,Old Man Logan (2016) #6,6,2016-05-18T00:00:00-0400,Old Man Logan (2016 - Present),20617,3.99,,,,,,
55542,International Iron Man (2016) #3,3,2016-05-18T00:00:00-0400,International Iron Man (2016 - Present),20477,3.99,,,,,,
51724,Deadpool & The Mercs For Money (2016) #4,4,2016-05-18T00:00:00-0400,Deadpool & The Mercs For Money (2016 - Present),19394,3.99,,,,,,
55340,The Astonishing Ant-Man (2015) #8,8,2016-05-18T00:00:00-0400,The Astonishing Ant-Man (2015 - Present),20437,3.99,,,,,,
55698,Spider-Man (2016) #4,4,2016-05-18T00:00:00-0400,Spider-Man (2016 - Present),20508,3.99,,,,,,
55794,Mighty Thor (2015) #7,7,2016-05-18T00:00:00-0400,Mighty Thor (2015 - Present),20527,3.99,,,,,,
56439,All-New Wolverine (2015) #8,8,2016-05-18T00:00:00-0400,All-New Wolverine (2015 - Present),20682,3.99,,,,,,
56170,Spider-Woman (2015) #7,7,2016-05-18T00:00:00-0400,Spider-Woman (2015 - Present),20618,3.99,,,,,,
55745,Squadron Supreme (2015) #7,7,2016-05-18T00:00:00-0400,Squadron Supreme (2015 - Present),20517,3.99,,,,,,
55422,Doctor Strange (2015) #8,8,2016-05-18T00:00:00-0400,Doctor Strange (2015 - Present),20457,3.99,,,,,,
56186,Star-Lord (2015) #7,7,2016-05-18T00:00:00-0400,Star-Lord (2015 - Present),20619,3.99,,,,,,
58408,Haunted Mansion (2016) #3,3,2016-05-18T00:00:00-0400,Haunted Mansion (2016 - Present),21285,3.99,,,,,,
59337,Deadpool: Last Days of Magic (2016) #1,1,2016-05-18T00:00:00-0400,Deadpool: Last Days of Magic (2016 - Present),21606,4.99,,,,,,
47113,Scarlet (2010) #9,9,2016-05-18T00:00:00-0400,Scarlet (2010 - Present),12212,3.95,,,,,,
56221,Uncanny Avengers (2015) #9,9,2016-05-18T00:00:00-0400,Uncanny Avengers (2015 - Present),20621,3.99,,,,,,
55857,Illuminati (2015) #7,7,2016-05-11T00:00:00-0400,Illuminati (2015 - Present),20552,3.99,,,,,,
56033,Agents of S.H.I.E.L.D. (2016) #5,5,2016-05-11T00:00:00-0400,Agents of S.H.I.E.L.D. (2016 - Present),20607,3.99,,,,,,
59480,Guardians of Infinity (2015) #6,6,2016-05-11T00:00:00-0400,Guardians of Infinity (2015 - Present),20807,4.99,,,,,,
57296,Venom: Space Knight (2015) #7,7,2016-05-11T00:00:00-0400,Venom: Space Knight (2015 - Present),20896,3.99,,,,,,
56075,Deadpool (2015) #11,11,2016-05-11T00:00:00-0400,Deadpool (2015 - Present),20613,3.99,,,,,,
55471,Guardians of the Galaxy (2015) #8,8,2016-05-11T00:00:00-0400,Guardians of the Galaxy (2015 - Present),20465,3.99,,,,,,
59386,Civil War II (2016),0,2016-05-11T00:00:00-0400,Civil War II (2016 - Present),21620,4.99,,,,,,
51622,Dark Tower: The Drawing of the Three - Bitter Medicine (2016) #2,2,2016-05-11T00:00:00-0400,Dark Tower: The Drawing of the Three - Bitter Medicine (2016 - Present),19367,3.99,,,,,,
57261,Ultimates (2015) #7,7,2016-05-11T00:00:00-0400,Ultimates (2015 - Present),20890,3.99,,,,,,
56122,Ms. Marvel (2015) #7,7,2016-05-11T00:00:00-0400,Ms. Marvel (2015 - Present),20615,3.99,,,,,,
57332,Web Warriors (2015) #7,7,2016-05-11T00:00:00-0400,Web Warriors (2015 - Present),20900,3.99,,,,,,
57315,Vision (2015) #7,7,2016-05-11T00:00:00-0400,Vision (2015 - Present),20897,3.99,,,,,,
55400,Darth Vader (2015) #20,20,2016-05-11T00:00:00-0400,Darth Vader (2015 - Present),19379,4.99,,,,,,
55661,Silver Surfer (2016) #4,4,2016-05-11T00:00:00-0400,Silver Surfer (2016 - Present),20502,3.99,,,,,,
55647,Silk (2015) #8,8,2016-05-11T00:00:00-0400,Silk (2015 - Present),20499,3.99,,,,,,
56238,All-New X-Men (2015) #9,9,2016-05-11T00:00:00-0400,All-New X-Men (2015 - Present),20622,4.99,,,,,,
58996,Gwenpool (2016) #2,2,2016-05-11T00:00:00-0400,Gwenpool (2016 - Present),21490,3.99,,,,,,
58533,Miracleman by Gaiman & Buckingham: The Silver Age (2016) #3,3,2016-05-11T00:00:00-0400,Miracleman by Gaiman & Buckingham: The Silver Age (2016 - Present),21367,4.99,,,,,,
52866,Uncanny Inhumans (2015) #8,8,2016-05-11T00:00:00-0400,Uncanny Inhumans (2015 - Present),19780,3.99,,,,,,
57047,Nova (2015) #7,7,2016-05-04T00:00:00-0400,Nova (2015 - Present),20844,3.99,,,,,,
59339,Empress (2016) #2,2,2016-05-04T00:00:00-0400,Empress (2016 - Present),21607,3.99,,,,,,
58685,Daredevil/Punisher (2016) #1,1,2016-05-04T00:00:00-0400,Daredevil/Punisher (2016 - Present),21420,4.99,,,,,,
55577,Moon Knight (2016) #2,2,2016-05-04T00:00:00-0400,Moon Knight (2016 - Present),20488,3.99,,,,,,
58650,The Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016) #3,3,2016-05-04T00:00:00-0400,The Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016 - Present),21407,4.99,,,,,,
59675,True Believers: Lando (2016) #1,1,2016-05-04T00:00:00-0400,True Believers: Lando (2016 - Present),21720,1,,,,,,
55530,Invincible Iron Man (2015) #9,9,2016-05-04T00:00:00-0400,Invincible Iron Man (2015 - Present),20476,3.99,,,,,,
59677,True Believers: Star Wars (2016) #1,1,2016-05-04T00:00:00-0400,True Believers: Star Wars (2016 - Present),21722,1,,,,,,
59344,Gwenpool (2016),0,2016-05-04T00:00:00-0400,Gwenpool (2016 - Present),21490,4.99,,,,,,
56414,All-New Inhumans (2015) #7,7,2016-05-04T00:00:00-0400,All-New Inhumans (2015 - Present),20681,3.99,,,,,,
59679,True Believers: Star Wars Covers (2016) #1,1,2016-05-04T00:00:00-0400,True Believers: Star Wars Covers (2016 - Present),21724,1,,,,,,
56016,A-Force (2016) #5,5,2016-05-04T00:00:00-0400,A-Force (2016 - Present),20606,3.99,,,,,,
59672,True Believers: Darth Vader (2016) #1,1,2016-05-04T00:00:00-0400,True Believers: Darth Vader (2016 - Present),21717,1,,,,,,
59336,Civil War II  (2016),0,2016-05-04T00:00:00-0400,Civil War II  (2016 - Present),21605,4.99,,,,,,
55310,Amazing Spider-Man (2015) #12,12,2016-05-04T00:00:00-0400,Amazing Spider-Man (2015 - Present),20432,3.99,,,,,,
56055,Uncanny X-Men (2016) #7,7,2016-05-04T00:00:00-0400,Uncanny X-Men (2016 - Present),20612,3.99,,,,,,
59674,True Believers: Kanan (2016) #1,1,2016-05-04T00:00:00-0400,True Believers: Kanan (2016 - Present),21719,1,,,,,,
56563,Captain America: Sam Wilson (2015) #9,9,2016-05-04T00:00:00-0400,Captain America: Sam Wilson (2015 - Present),20711,3.99,,,,,,
55504,Howard the Duck (2015) #7,7,2016-05-04T00:00:00-0400,Howard the Duck (2015 - Present),20471,3.99,,,,,,
57212,The Punisher (2016) #1,1,2016-05-04T00:00:00-0400,The Punisher (2016 - Present),20879,3.99,,,,,,
55377,Black Widow (2016) #3,3,2016-05-04T00:00:00-0400,Black Widow (2016 - Present),20448,3.99,,,,,,
59676,True Believers: Shattered Empire (2016) #1,1,2016-05-04T00:00:00-0400,True Believers: Shattered Empire (2016 - Present),21721,1,,,,,,
57383,Black Panther (2016) #2,2,2016-05-04T00:00:00-0400,Black Panther (2016 - Present),20912,3.99,,,,,,
59419,New Avengers (2015) #11,11,2016-05-04T00:00:00-0400,New Avengers (2015 - Present),20841,3.99,,,,,,
57233,Thunderbolts (2016) #1,1,2016-05-04T00:00:00-0400,Thunderbolts (2016 - Present),20884,3.99,,,,,,
59678,True Believers: Star Wars Classic (2016) #1,1,2016-05-04T00:00:00-0400,True Believers: Star Wars Classic (2016 - Present),21723,1,,,,,,
55826,Contest of Champions (2015) #8,8,2016-05-04T00:00:00-0400,Contest of Champions (2015 - Present),20535,3.99,,,,,,
58984,Deadpool (2015) #1,1,2016-05-04T00:00:00-0400,Deadpool (2015 - Present),20613,3.99,,,,,,
55362,"All-New, All-Different Avengers (2015) #9",9,2016-05-04T00:00:00-0400,"All-New, All-Different Avengers (2015 - Present)",20443,3.99,,,,
59671,True Believers: Chewbacca (2016) #1,1,2016-05-04T00:00:00-0400,True Believers: Chewbacca (2016 - Present),21716,1,,,,,,
58747,Marvel Universe Avengers Assemble: Civil War (2016) #3,3,2016-05-04T00:00:00-0400,Marvel Universe Avengers Assemble: Civil War (2016 - Present),21433,2.99,,,,,,
59680,True Believers: Vader Down (2016) #1,1,2016-05-04T00:00:00-0400,True Believers: Vader Down (2016 - Present),21725,1,,,,,,
57364,X-Men '92 (2016) #3,3,2016-05-04T00:00:00-0400,X-Men '92 (2016 - Present),20906,3.99,,,,,,
59673,True Believers: Droids (2016) #1,1,2016-05-04T00:00:00-0400,True Believers: Droids (2016 - Present),21718,1,,,,,,
52109,X-Men: Worst X-Man Ever (2016) #3,3,2016-04-27T00:00:00-0400,X-Men: Worst X-Man Ever (2016 - Present),19512,3.99,,,,,,
58977,Punisher: Born (Trade Paperback),0,2016-04-27T00:00:00-0400,Punisher: Born (2016),21486,14.99,,,,,,
57260,Ultimates (2015) #6,6,2016-04-27T00:00:00-0400,Ultimates (2015 - Present),20890,3.99,,,,,,
55421,Doctor Strange (2015) #7,7,2016-04-27T00:00:00-0400,Doctor Strange (2015 - Present),20457,3.99,,,,,,
55767,Star Wars (2015) #18,18,2016-04-27T00:00:00-0400,Star Wars (2015 - Present),19242,3.99,,,,,,
56121,Ms. Marvel (2015) #6,6,2016-04-27T00:00:00-0400,Ms. Marvel (2015 - Present),20615,3.99,,,,,,
56438,All-New Wolverine (2015) #7,7,2016-04-27T00:00:00-0400,All-New Wolverine (2015 - Present),20682,3.99,,,,,,
56169,Spider-Woman (2015) #6,6,2016-04-27T00:00:00-0400,Spider-Woman (2015 - Present),20618,3.99,,,,,,
55744,Squadron Supreme (2015) #6,6,2016-04-27T00:00:00-0400,Squadron Supreme (2015 - Present),20517,3.99,,,,,,
59421,Spider-Man: Brand New Day - The Complete Collection Vol. 1 (Trade Paperback),0,2016-04-27T00:00:00-0400,Spider-Man: Brand New Day - The Complete Collection Vol. 1 (2016),21643,39.99,,,,,,
