character,ability_type
Lord Deathstrike (Earth-616),Acid_Generation
Martin Zantz (Earth-616),Acid_Generation
Maximus Jensen (Earth-616),Acid_Generation
Mortimer Toynbee (Earth-616),Acid_Generation
Namorita Prentiss (Earth-616),Acid_Generation
Pukatus Jr. (Legion Personality) (Earth-616),Acid_Generation
Richard Deacon (Earth-616),Acid_Generation
Scott Washington (Earth-616),Acid_Generation
Theodore Sallis (Earth-616),Acid_Generation
Tike Alicar (Earth-616),Acid_Generation
115 (Legion Personality) (Earth-616),Acoustikinesis
Adriana Soria (Earth-616),Acoustikinesis
Ahmet Abdol (Earth-616),Acoustikinesis
Ahura Boltagon (Earth-616),Acoustikinesis
Alisa Tager (Earth-616),Acoustikinesis
Alison Blaire (Earth-616),Acoustikinesis
Auran (Earth-616),Acoustikinesis
Banshee (North Korean Mutate) (Earth-616),Acoustikinesis
Blackagar Boltagon (Earth-616),Acoustikinesis
Blackagar Boltagon (Skrull) (Earth-616),Acoustikinesis
Charles Weiderman (Earth-616),Acoustikinesis
Clement Wilson (Earth-616),Acoustikinesis
Clown (Legion Personality) (Earth-616),Acoustikinesis
Colin McKay (Earth-616),Acoustikinesis
Daisy Johnson (Earth-616),Acoustikinesis
David Angar (Earth-616),Acoustikinesis
David Haller (Earth-616),Acoustikinesis
Dinah Soar (Earth-616),Acoustikinesis
Donna Diego (Earth-616),Acoustikinesis
Dynamic Man (Earth-616),Acoustikinesis
Frances Barrison (Earth-616),Acoustikinesis
Griffin Gogol (Earth-616),Acoustikinesis
Gustav Krueger (Earth-616),Acoustikinesis
Harley Davis (Earth-616),Acoustikinesis
Hooud (Earth-616),Acoustikinesis
Ian McNee (Earth-616),Acoustikinesis
Inhumans (Skrull) (Earth-616),Acoustikinesis
Jason Cragg (Earth-616),Acoustikinesis
Jeb Lee (Earth-616),Acoustikinesis
Jonothon Starsmore (Earth-616),Acoustikinesis
Joshua Guthrie (Earth-616),Acoustikinesis
Julio Mendoza (Earth-616),Acoustikinesis
Lani Ubanu (Earth-616),Acoustikinesis
Lillie McGurty (Earth-616),Acoustikinesis
Linda Lewis (Zombie Clone) (Earth-616),Acoustikinesis
Magnitude (Earth-616),Acoustikinesis
Mark Sheppard (Earth-616),Acoustikinesis
Melissa Gold (Earth-616),Acoustikinesis
Pedro de Noli (Earth-616),Acoustikinesis
Phillip Urich (Earth-616),Acoustikinesis
Rachel Argosy (Earth-616),Acoustikinesis
Raoul Hernandez (Earth-616),Acoustikinesis
Reeva Payge (Earth-616),Acoustikinesis
Riot (Heavy Mettle) (Earth-616),Acoustikinesis
Roger Norvell (Earth-616),Acoustikinesis
Sean Cassidy (Earth-616),Acoustikinesis
Sofia Mantega (Earth-616),Acoustikinesis
Temugin (Earth-616),Acoustikinesis
Theresa Cassidy (Earth-616),Acoustikinesis
Tremolo (Earth-616),Acoustikinesis
Ulysses Klaw (Earth-616),Acoustikinesis
White Noise (Earth-616),Acoustikinesis
William Williams (Earth-616),Acoustikinesis
Aaron Nicholson (Earth-616),Adaptation
Armando Muñoz (Earth-616),Adaptation
Dimitrios (Earth-616),Adaptation
Endgame (Legion Personality) (Earth-616),Adaptation
Freak (Vagrant) (Earth-616),Adaptation
Gabriel Summers (Earth-616),Adaptation
Heather Cameron (Earth-616),Adaptation
Holocaust (Earth-616),Adaptation
Hydra Prime 001 (Earth-616),Adaptation
Karima Shapandar (Earth-616),Adaptation
Lunatik (Mercenary) (Earth-616),Adaptation
Marshall Stone III (Earth-616),Adaptation
Meggan Puceanu (Earth-616),Adaptation
Rafael Carago (Earth-616),Adaptation
Teon Macik (Earth-616),Adaptation
Unspoken (Earth-616),Adaptation
X-51 (Earth-616),Adaptation
"""Spider-Girl"" (Mutant/Spider Clone) (Earth-616)",Adhesive
14 (Earth-616),Adhesive
Mortimer Toynbee (Earth-616),Adhesive
Peter Petruski (Earth-616),Adhesive
Snot (Earth-616),Adhesive
Tar Baby (Earth-616),Adhesive
Thursday Rubinstein (Earth-616),Adhesive
Zzxz (Klyntar) (Earth-616),Adhesive
Abyss (Ex Nihilo's) (Earth-616),Advanced_Longevity
Agent X (Nijo) (Earth-616),Advanced_Longevity
Ajax (Pantheon) (Earth-616),Advanced_Longevity
Akihiro (Earth-616),Advanced_Longevity
Amelia Weatherly (Earth-616),Advanced_Longevity
Amir (Earth-616),Advanced_Longevity
Amora (Earth-616),Advanced_Longevity
Ana Cortes (Earth-616),Advanced_Longevity
Aquaria Neptunia (Earth-616),Advanced_Longevity
Arkady Rossovich (Earth-616),Advanced_Longevity
Aron (Earth-616),Advanced_Longevity
Atalanta (Pantheon) (Earth-616),Advanced_Longevity
Azazel (Earth-616),Advanced_Longevity
Barbara Morse (Earth-616),Advanced_Longevity
Berthold Sternberg (Earth-616),Advanced_Longevity
Blackwulf (Lucian) (Earth-616),Advanced_Longevity
Bride of Nine Spiders (Earth-616),Advanced_Longevity
Cairbre (Earth-616),Advanced_Longevity
Chinook (Earth-616),Advanced_Longevity
Claire Voyant (Earth-616),Advanced_Longevity
Clea (Earth-616),Advanced_Longevity
Cul Borson (Earth-616),Advanced_Longevity
Dangerous Jinn (Earth-616),Advanced_Longevity
Daniel Rand (Earth-616),Advanced_Longevity
Daniel Whitehall (Earth-616),Advanced_Longevity
Davos (Earth-616),Advanced_Longevity
Eitri (Earth-616),Advanced_Longevity
Elias Bogan (Earth-616),Advanced_Longevity
Elijah Bradley (Earth-616),Advanced_Longevity
Eric Masterson (Earth-616),Advanced_Longevity
Eugene Judd (Earth-616),Advanced_Longevity
Eurystheus (Earth-616),Advanced_Longevity
Ex Nihila (Earth-616),Advanced_Longevity
Ex Nihilo (Earth-616),Advanced_Longevity
Fah Lo Suee (Earth-616),Advanced_Longevity
Fat Cobra (Earth-616),Advanced_Longevity
Fin Fang Foom (Earth-616),Advanced_Longevity
Fiona Knoblach (Earth-616),Advanced_Longevity
Flavius Scollio (Earth-616),Advanced_Longevity
Frederick Slade (Earth-616),Advanced_Longevity
Gabriel Shepherd (Earth-616),Advanced_Longevity
Gaia (Earth-616),Advanced_Longevity
Geirrodur (Earth-616),Advanced_Longevity
Gorr (God Butcher) (Earth-616),Advanced_Longevity
Harek Korgon (Earth-616),Advanced_Longevity
Harvey Elder (Earth-616),Advanced_Longevity
Heimdall (Earth-616),Advanced_Longevity
Heindrich von Wilhelm Innsbruck (Earth-616),Advanced_Longevity
Heinrich Zemo (Earth-616),Advanced_Longevity
Hela (Earth-616),Advanced_Longevity
Helmut Zemo (Earth-616),Advanced_Longevity
Hui Lin (Earth-616),Advanced_Longevity
Isaiah Bradley (Earth-616),Advanced_Longevity
Ivan Petrovich Bezukhov (Earth-616),Advanced_Longevity
Jack Dio (Earth-616),Advanced_Longevity
Jacob Fury (Earth-616),Advanced_Longevity
James Bradley (Earth-616),Advanced_Longevity
James Buchanan Barnes (Earth-616),Advanced_Longevity
James Howlett (Earth-616),Advanced_Longevity
Jerran Ko (Earth-616),Advanced_Longevity
John Aman (Earth-616),Advanced_Longevity
Jonas Graymalkin (Earth-616),Advanced_Longevity
Josiah al hajj Saddiq (Earth-616),Advanced_Longevity
Kaleb (Earth-616),Advanced_Longevity
Kallark (Earth-616),Advanced_Longevity
Laura Kinney (Earth-616),Advanced_Longevity
Li Hua (Earth-616),Advanced_Longevity
Loki Laufeyson (Earth-616),Advanced_Longevity
Loki Laufeyson (Ikol) (Earth-616),Advanced_Longevity
Lorelei (Asgardian) (Earth-616),Advanced_Longevity
Louise Grant (Earth-616),Advanced_Longevity
Maelstrom (Earth-616),Advanced_Longevity
Malekith (Earth-616),Advanced_Longevity
Mark Todd (Earth-616),Advanced_Longevity
Mary Mitchell (Earth-616),Advanced_Longevity
Mercy LeBeau (Earth-616),Advanced_Longevity
Moses Magnum (Earth-616),Advanced_Longevity
Naga (Earth-616),Advanced_Longevity
Namor McKenzie (Earth-616),Advanced_Longevity
Natalia Romanova (Earth-616),Advanced_Longevity
Nathan Beame (Earth-616),Advanced_Longevity
Nicholas Fury (Earth-616),Advanced_Longevity
"Nicholas Fury, Jr. (Earth-616)",Advanced_Longevity
Nikolaus Geist (Earth-616),Advanced_Longevity
Noah Black (Earth-616),Advanced_Longevity
Nobilus (Earth-616),Advanced_Longevity
Odin Borson (Earth-616),Advanced_Longevity
Oubliette Midas (Earth-616),Advanced_Longevity
Perun (Earth-616),Advanced_Longevity
Raven Darkholme (Earth-616),Advanced_Longevity
Remus (Earth-616),Advanced_Longevity
Richard Jones (Earth-616),Advanced_Longevity
Roger Norvell (Earth-616),Advanced_Longevity
Samantha Destine (Earth-616),Advanced_Longevity
Seer (Earth-616),Advanced_Longevity
Shastra (Earth-616),Advanced_Longevity
Shialmar (Earth-616),Advanced_Longevity
Sihing (Earth-616),Advanced_Longevity
Silas Burr (Earth-616),Advanced_Longevity
Skurge (Earth-616),Advanced_Longevity
Solaise (Earth-616),Advanced_Longevity
Sprite (Eternal) (Earth-616),Advanced_Longevity
Sygnet (Earth-616),Advanced_Longevity
Thomas Halloway (Earth-616),Advanced_Longevity
Thor Odinson (Earth-616),Advanced_Longevity
Tral (Earth-616),Advanced_Longevity
Trenton Craft (Earth-616),Advanced_Longevity
Valgoth (Earth-616),Advanced_Longevity
Valtrauta (Earth-616),Advanced_Longevity
Vasili Dassaiev (Earth-616),Advanced_Longevity
Victor Creed (Earth-616),Advanced_Longevity
Viktor Uvarov (Earth-616),Advanced_Longevity
Virako (Earth-616),Advanced_Longevity
Vladimir Kravinoff (Earth-616),Advanced_Longevity
Wade Wilson (Widdle Wade) (Earth-616),Advanced_Longevity
William Knoblach (Earth-616),Advanced_Longevity
Wolfgang von Strucker (Earth-616),Advanced_Longevity
Wraarl (Earth-616),Advanced_Longevity
Yao (Earth-616),Advanced_Longevity
Zaniac (Earth-616),Advanced_Longevity
Zheng Zu (Earth-616),Advanced_Longevity
Abigail Boylen (Earth-616),Aerokinesis
Absolon Mercator (Earth-616),Aerokinesis
Air (Elementals) (Earth-616),Aerokinesis
Aireo (Earth-616),Aerokinesis
Aminedi (Earth-616),Aerokinesis
Ananym (Earth-616),Aerokinesis
André Gerard (Earth-616),Aerokinesis
Blow-Hard (Earth-616),Aerokinesis
Bor Burison (Earth-616),Aerokinesis
Chinook (Earth-616),Aerokinesis
Clothilde (Earth-616),Aerokinesis
Colin Hume (Earth-616),Aerokinesis
Crystalia Amaquelin (Earth-616),Aerokinesis
Damian Tryp Jr. (Earth-616),Aerokinesis
David Cannon (Earth-616),Aerokinesis
Drew Daniels (Earth-616),Aerokinesis
Fei Lian (Earth-616),Aerokinesis
Fume (Daryl) (Earth-616),Aerokinesis
Gaea (Earth-616),Aerokinesis
Helio (Earth-616),Aerokinesis
Hiro Sokuto (Earth-616),Aerokinesis
Hurricane (Dark Riders) (Earth-616),Aerokinesis
Ikthalon (Earth-616),Aerokinesis
Jean Grey (Earth-616),Aerokinesis
Jericho Drumm (Earth-616),Aerokinesis
Jo Beth (Earth-616),Aerokinesis
Kaluu (Earth-616),Aerokinesis
Mark Diering (Earth-616),Aerokinesis
Meggan Puceanu (Earth-616),Aerokinesis
Meruda (Earth-616),Aerokinesis
Modred (Earth-616),Aerokinesis
Mzungu (Earth-616),Aerokinesis
Nicolette Giroux (Earth-616),Aerokinesis
Ororo Munroe (Earth-616),Aerokinesis
Ororo's grandmother (Earth-616),Aerokinesis
Pamela Shaw (Earth-616),Aerokinesis
Phoenix Force (Earth-616),Aerokinesis
Pierre Fresson (Earth-616),Aerokinesis
Ralph Hutchins (Earth-616),Aerokinesis
Roger Norvell (Earth-616),Aerokinesis
Sirocco (Earth-616),Aerokinesis
Sloan Alden (Earth-616),Aerokinesis
Sofia Mantega (Earth-616),Aerokinesis
Temugin (Earth-616),Aerokinesis
Thor Odinson (Earth-616),Aerokinesis
Toshio Sasaki (Earth-616),Aerokinesis
Uber Alles (Earth-616),Aerokinesis
Vakume (Earth-616),Aerokinesis
Vor (Earth-616),Aerokinesis
Windstorm (Earth-616),Aerokinesis
Zephyr (Earth-616),Aerokinesis
Aardvark (Earth-616),Animal_Form
Giraffe-Man (Earth-616),Animal_Form
Link (Employee of Arcade) (Earth-616),Animal_Form
Mac Garrity (Earth-616),Animal_Form
Maria de Guadalupe Santiago (Earth-616),Animal_Form
Mark Sim (Earth-616),Animal_Form
Michael Suggs (Earth-616),Animal_Form
Ocelot (O-Force) (Earth-616),Animal_Form
Ophis (Earth-616),Animal_Form
Otr Hriedmarson (Earth-616),Animal_Form
Roja Sanford (Earth-616),Animal_Form
Scarum (Earth-616),Animal_Form
Tatiana Caban (Earth-616),Animal_Form
Worm (Savage Land Mutate) (Earth-616),Animal_Form
Xemnu (Earth-616),Animal_Form
Yeti (Inhuman) (Earth-616),Animal_Form
Yeti (Weapon P.R.I.M.E.) (Earth-616),Animal_Form
Aaron Soames (Earth-616),Armor_Users
Abigail Burns (Earth-616),Armor_Users
Abner Jenkins (Earth-616),Armor_Users
Ace Fenton (Earth-616),Armor_Users
Achilles (Helmut) (Earth-616),Armor_Users
Acroyear (Earth-616),Armor_Users
Administrator (Earth-616),Armor_Users
Adrian Eiskalt (Earth-616),Armor_Users
Adrian Toomes (Earth-616),Armor_Users
Aikku Jokinen (Earth-616),Armor_Users
Airborne (Death Squad) (Earth-616),Armor_Users
Ajax (Pantheon) (Earth-616),Armor_Users
Alan Burstyn (Earth-616),Armor_Users
Albert Potter (Earth-616),Armor_Users
Aleksei Sytsevich (Earth-616),Armor_Users
Alex Nevsky (Earth-616),Armor_Users
Alexander Gentry (Earth-616),Armor_Users
Alexander Lexington (Earth-616),Armor_Users
Alexandra Draguno (Earth-616),Armor_Users
Alistaire Smythe (Earth-616),Armor_Users
Anarra (Earth-616),Armor_Users
Andrew Forson (Earth-616),Armor_Users
André Gerard (Earth-616),Armor_Users
André Gerard (Skrull) (Earth-616),Armor_Users
Angmo-Asan (Earth-616),Armor_Users
Anthony Davis (Earth-616),Armor_Users
Anthony Power (Earth-616),Armor_Users
Anthony Stark (Earth-616),Armor_Users
Anthony Stark (Onslaught Reborn) (Earth-616),Armor_Users
Anthony Stark (Skrull) (Earth-616),Armor_Users
Anton Vanko (Crimson Dynamo) (Earth-616),Armor_Users
Anton Vanko (Whiplash) (Earth-616),Armor_Users
Aries (LMD) (Earth-616),Armor_Users
Arno Stark (Earth-616),Armor_Users
Arthur (Circle) (Earth-616),Armor_Users
Astra (Spaceknight) (Earth-616),Armor_Users
August Hopper (Earth-616),Armor_Users
Avalonia (Eurth) (Earth-616),Armor_Users
B'nee and C'cll (Earth-616),Armor_Users
Baker (Guardsman) (Earth-616),Armor_Users
Balin (Earth-616),Armor_Users
Barone (Earth-616),Armor_Users
Barracuda (Heavy Mettle) (Earth-616),Armor_Users
Beetle (Hobgoblin) (Earth-616),Armor_Users
Bethany Cabe (Earth-616),Armor_Users
Billy Russo (Earth-616),Armor_Users
Black Axe (Earth-616),Armor_Users
Black Brigade (Earth-616),Armor_Users
Blizzard (Jim) (Earth-616),Armor_Users
Boris Bullski (Earth-616),Armor_Users
Boris Monguski (Earth-616),Armor_Users
Boris Turgenov (Earth-616),Armor_Users
Boris Vadim (Earth-616),Armor_Users
Boxx (Earth-616),Armor_Users
Brandy Clark (Earth-616),Armor_Users
Breeze James (Earth-616),Armor_Users
Brendon Doyle (Earth-616),Armor_Users
Brian Lash (Earth-616),Armor_Users
Brock Jones (Earth-616),Armor_Users
Bron (Earth-616),Armor_Users
Burtram Worthington (Earth-616),Armor_Users
Captain Amerigo (Earth-616),Armor_Users
Carl Walker (Earth-616),Armor_Users
Carson Rowntree (Earth-616),Armor_Users
Charles Amundson (Earth-616),Armor_Users
Chase Stein (Earth-616),Armor_Users
Christian Cord (Earth-616),Armor_Users
Christopher Fallon (Earth-616),Armor_Users
Christopher Powell (Earth-616),Armor_Users
Cinder Fontatine (Earth-616),Armor_Users
Circle (Earth-616),Armor_Users
Clare Gruler (Earth-616),Armor_Users
Clarence Ward (Earth-616),Armor_Users
Colin Hume (Earth-616),Armor_Users
Colin Richard (Earth-616),Armor_Users
Colonel Okada (Earth-616),Armor_Users
Conner O'Reilly (Heroes Reborn) (Earth-616),Armor_Users
Cosmic Man (Midas) (Earth-616),Armor_Users
Cristoph Pfeifer (Earth-616),Armor_Users
Curtis Elkins (Earth-616),Armor_Users
Daniel Bannion (Earth-616),Armor_Users
Daniel Whitehall (Earth-616),Armor_Users
Dargin Bokk (Earth-616),Armor_Users
Darin (Earth-616),Armor_Users
Darin II (Earth-616),Armor_Users
Darla Deering (Earth-616),Armor_Users
Davan Shakari (Earth-616),Armor_Users
David Breyer (Earth-616),Armor_Users
David Roberts (Earth-616),Armor_Users
Daystar (Spaceknight) (Earth-616),Armor_Users
Dennis Murray (Earth-616),Armor_Users
Devastator (Ascendants) (Earth-616),Armor_Users
Dimitri Bukharin (Earth-616),Armor_Users
Docteur Q (Earth-616),Armor_Users
Dominor (Earth-616),Armor_Users
Don Thomas (Earth-616),Armor_Users
Donald Clendenon (Earth-616),Armor_Users
Donald Gill (Earth-616),Armor_Users
Doug Johnson III (Earth-616),Armor_Users
Doug Taggert (Earth-616),Armor_Users
Douglas Carmody (Earth-616),Armor_Users
Drill (Power Tools) (Earth-616),Armor_Users
Devastator (Ascendants) (Earth-616),Armor_Users
Dimitri Bukharin (Earth-616),Armor_Users
Docteur Q (Earth-616),Armor_Users
Dominor (Earth-616),Armor_Users
Don Thomas (Earth-616),Armor_Users
Donald Clendenon (Earth-616),Armor_Users
Donald Gill (Earth-616),Armor_Users
Doug Johnson III (Earth-616),Armor_Users
Doug Taggert (Earth-616),Armor_Users
Douglas Carmody (Earth-616),Armor_Users
Drill (Power Tools) (Earth-616),Armor_Users
Edward Lansky (Earth-616),Armor_Users
Edward Lavell (Earth-616),Armor_Users
Edward March (Earth-616),Armor_Users
Edward McDonough (Earth-616),Armor_Users
Elaine Coll (Earth-616),Armor_Users
Eliot Villagran (Earth-616),Armor_Users
Elizabeth Barstow (Earth-616),Armor_Users
Emilio Layton (Earth-616),Armor_Users
Endgame (Legion Personality) (Earth-616),Armor_Users
Erika Benson (Earth-616),Armor_Users
Evolutionary (Earth-616),Armor_Users
Ezekiel Stane (Earth-616),Armor_Users
Fabian Stankiewicz (Earth-616),Armor_Users
Firearm (Earth-616),Armor_Users
Fireball (Earth-616),Armor_Users
Flatiron (Russell) (Earth-616),Armor_Users
Flavius Scollio (Earth-616),Armor_Users
Frank Ensign (Earth-616),Armor_Users
Fredric Woolrich (Earth-616),Armor_Users
Full Acclimation Combat And Defence Explo-skeleton (Earth-616),Armor_Users
Gabriel Stacy (Earth-616),Armor_Users
Galahad (Wilheim) (Earth-616),Armor_Users
Galina Nemirovsky (Earth-616),Armor_Users
Gary Gilbert (Earth-616),Armor_Users
Gary Quinn (Earth-616),Armor_Users
Gattling (Earth-616),Armor_Users
Gennady Gavrilov (Earth-616),Armor_Users
Gerald Marsh (Earth-616),Armor_Users
Ghost (Earth-616),Armor_Users
Giles McHeath (Earth-616),Armor_Users
Gloriole (Earth-616),Armor_Users
Grasshopper (Skrull) (Earth-616),Armor_Users
Grasshopper (Unnamed) (Earth-616),Armor_Users
Gregori Larionov (Earth-616),Armor_Users
Gregory Smoot (Earth-616),Armor_Users
H'jke Jeeku (Earth-616),Armor_Users
Hammerhand (Spaceknights) (Earth-616),Armor_Users
Hans (Sinister) (Earth-616),Armor_Users
Harold Hogan (Earth-616),Armor_Users
Harry Bright (Earth-616),Armor_Users
Heather McNeil (Earth-616),Armor_Users
Heather O'Gara (Earth-616),Armor_Users
Heatwave (Earth-616),Armor_Users
Heavy Metal Jacket (Earth-616),Armor_Users
Helmut Gruler (Earth-616),Armor_Users
Henry Pym (Onslaught Reborn) (Earth-616),Armor_Users
Henry Sleeman (Earth-616),Armor_Users
Herb Bannion (Earth-616),Armor_Users
Herbert Wyndham (Earth-616),Armor_Users
Herman Schultz (Earth-616),Armor_Users
Hiro Takachiho (Earth-616),Armor_Users
Hobie Brown (Earth-616),Armor_Users
Honcho (Hostiles) (Earth-616),Armor_Users
Howard Samuels (Earth-616),Armor_Users
Hugh Taylor (Earth-616),Armor_Users
Ikon (Earth-616),Armor_Users
Ivan Kivelki (Earth-616),Armor_Users
Jack Hammer (Earth-616),Armor_Users
Jack Taggert (Earth-616),Armor_Users
Jacob Fury (Earth-616),Armor_Users
Jacob Oh (Earth-616),Armor_Users
Jalome Beacher (Earth-616),Armor_Users
James Hudson (Earth-616),Armor_Users
James Rhodes (Earth-616),Armor_Users
James Zafar (Earth-616),Armor_Users
Janice Lincoln (Earth-616),Armor_Users
Jennifer Stewart (Earth-616),Armor_Users
Jeremy Swimming-Bear (Earth-616),Armor_Users
Jerome Jaxon (Earth-616),Armor_Users
Jim Cunningham (Earth-616),Armor_Users
Johann Goldstein (Earth-616),Armor_Users
Johannes Haff (Earth-616),Armor_Users
Jorro (Earth-616),Armor_Users
Joseph Cartelli (Earth-616),Armor_Users
Joseph Green (Earth-616),Armor_Users
Joseph Wade (Earth-616),Armor_Users
Joss Shappe (Earth-616),Armor_Users
Jubilation Lee (Earth-616),Armor_Users
Juston Seyfert (Earth-616),Armor_Users
Joseph Green (Earth-616),Armor_Users
Joseph Wade (Earth-616),Armor_Users
Joss Shappe (Earth-616),Armor_Users
Jubilation Lee (Earth-616),Armor_Users
Juston Seyfert (Earth-616),Armor_Users
Karas (Earth-616),Armor_Users
Katrina van Horn (Earth-616),Armor_Users
Kearson DeWitt (Earth-616),Armor_Users
Kenneth Parmenter (Earth-616),Armor_Users
Kevin O'Brien (Earth-616),Armor_Users
Killdozer (Earth-616),Armor_Users
Killer Shrike (Hobgoblin) (Earth-616),Armor_Users
Killyu (Earth-616),Armor_Users
Kirov Petrovna (Earth-616),Armor_Users
Kondrati Topolov (Earth-616),Armor_Users
Kristoff Vernard (Earth-616),Armor_Users
Kronnitt (Earth-616),Armor_Users
L'Deroh (Earth-616),Armor_Users
Lady Stilt-Man (Earth-616),Armor_Users
Lan (Earth-616),Armor_Users
