character,ability_type
Sean Cassidy (Earth-1036),Acoustikinesis
Sean Cassidy (Earth-105709),Acoustikinesis
Sean Cassidy (Earth-1081),Acoustikinesis
Sean Cassidy (Earth-11080),Acoustikinesis
Sean Cassidy (Earth-13133),Acoustikinesis
Sean Cassidy (Earth-20051),Acoustikinesis
Sean Cassidy (Earth-2122),Acoustikinesis
Sean Cassidy (Earth-21993),Acoustikinesis
Sean Cassidy (Earth-295),Acoustikinesis
Sean Cassidy (Earth-32000),Acoustikinesis
Sean Cassidy (Earth-34922),Acoustikinesis
Sean Cassidy (Earth-5700),Acoustikinesis
Sean Cassidy (Earth-58163),Acoustikinesis
Sean Cassidy (Earth-597),Acoustikinesis
Sean Cassidy (Earth-616),Acoustikinesis
Sean Cassidy (Earth-89721),Acoustikinesis
Sean Cassidy (Earth-92131),Acoustikinesis
Sean Cassidy (Earth-956),Acoustikinesis
Sean Cassidy (Earth-957),Acoustikinesis
Sean Cassidy (Earth-9997),Acoustikinesis
Sean Cassidy (Earth-BWXP),Acoustikinesis
Sean Cassidy (Earth-TRN533),Acoustikinesis
Sean Cassidy (Mojoverse),Acoustikinesis
Sofia Mantega (Earth-616),Acoustikinesis
Sonic Disruptor,Acoustikinesis
Tantrum (Earth-928),Acoustikinesis
Temugin (Earth-616),Acoustikinesis
Theresa Cassidy (Earth-10005),Acoustikinesis
Theresa Cassidy (Earth-105709),Acoustikinesis
Theresa Cassidy (Earth-21993),Acoustikinesis
Theresa Cassidy (Earth-295),Acoustikinesis
Theresa Cassidy (Earth-616),Acoustikinesis
Theresa Cassidy (Earth-84309),Acoustikinesis
Theresa Cassidy (Earth-95169),Acoustikinesis
Tremolo (Earth-616),Acoustikinesis
Ulysses Klaw (Earth-616),Acoustikinesis
Vykin (Earth-9602),Acoustikinesis
White Noise (Earth-616),Acoustikinesis
William Williams (Earth-616),Acoustikinesis
Yancy Grimm (Earth-71166),Acoustikinesis
Aaron Nicholson (Earth-616),Adaptation
Alexi Nikolai (Earth-9602),Adaptation
Armando Muñoz (Earth-10005),Adaptation
Armando Muñoz (Earth-616),Adaptation
Armando Muñoz (Earth-98193),Adaptation
Dimitrios (Earth-616),Adaptation
Endgame (Legion Personality) (Earth-616),Adaptation
Freak (Vagrant) (Earth-616),Adaptation
Gabriel Summers (Earth-616),Adaptation
Gerald Bernardson (Earth-928),Adaptation
Heather Cameron (Earth-41001),Adaptation
Heather Cameron (Earth-616),Adaptation
Holocaust (Earth-616),Adaptation
Hulk (Robert Bruce Banner),Adaptation
Hydra Prime 001 (Earth-616),Adaptation
Karima Shapandar (Earth-616),Adaptation
Lunatik (Mercenary) (Earth-616),Adaptation
Marshall Stone III (Earth-616),Adaptation
Meggan Puceanu (Earth-616),Adaptation
Nimrod (Earth-811),Adaptation
Paige Guthrie (Earth-1036),Adaptation
Paige Guthrie (Earth-295),Adaptation
Panspermians,Adaptation
Rafael Carago (Earth-616),Adaptation
Robert Bruce Banner (Earth-9602),Adaptation
Teon Macik (Earth-616),Adaptation
Unspoken (Earth-616),Adaptation
Victor von Doom (Earth-9602),Adaptation
X-51 (Earth-616),Adaptation
"""Spider-Girl"" (Mutant/Spider Clone) (Earth-616)",Adhesive
14 (Earth-616),Adhesive
Elliot Boggs (Earth-1610),Adhesive
Mortimer Toynbee (Earth-10005),Adhesive
Mortimer Toynbee (Earth-1610),Adhesive
Mortimer Toynbee (Earth-2149),Adhesive
Mortimer Toynbee (Earth-616),Adhesive
Peter Petruski (Earth-616),Adhesive
Snot (Earth-13729),Adhesive
Snot (Earth-616),Adhesive
Tar Baby (Earth-616),Adhesive
Thursday Rubinstein (Earth-616),Adhesive
Todd Tolensky (Earth-11052),Adhesive
Zzxz (Klyntar) (Earth-616),Adhesive
Abyss (Ex Nihilo's) (Earth-616),Advanced_Longevity
Agent X (Nijo) (Earth-616),Advanced_Longevity
Ajax (Pantheon) (Earth-616),Advanced_Longevity
Akihiro (Earth-616),Advanced_Longevity
Alec Swan (Earth-TRN161),Advanced_Longevity
Alexander Luthor (Earth-9602),Advanced_Longevity
Amelia Weatherly (Earth-616),Advanced_Longevity
Amir (Earth-616),Advanced_Longevity
Amora (Earth-616),Advanced_Longevity
Ana Cortes (Earth-616),Advanced_Longevity
Annihilus (Earth-1610),Advanced_Longevity
Aquaria Neptunia (Earth-616),Advanced_Longevity
Aquaria Neptunia (Earth-902124),Advanced_Longevity
Aquaria Neptunia (Earth-90324),Advanced_Longevity
Aquaria Neptunia (Earth-92124),Advanced_Longevity
Arkady Rossovich (Earth-616),Advanced_Longevity
Aron (Earth-616),Advanced_Longevity
Arthur McKenzie (Earth-9602),Advanced_Longevity
Asgardians,Advanced_Longevity
Atalanta (Pantheon) (Earth-616),Advanced_Longevity
Azazel (Earth-616),Advanced_Longevity
Barbara Morse (Earth-616),Advanced_Longevity
Berthold Sternberg (Earth-616),Advanced_Longevity
Blackwulf (Lucian) (Earth-616),Advanced_Longevity
Blaze Allen (Earth-9602),Advanced_Longevity
Bride of Nine Spiders (Earth-616),Advanced_Longevity
Cairbre (Earth-616),Advanced_Longevity
Chinook (Earth-616),Advanced_Longevity
Claire Voyant (Earth-616),Advanced_Longevity
Clark Kent (Earth-9602),Advanced_Longevity
Clea (Earth-616),Advanced_Longevity
Cul Borson (Earth-616),Advanced_Longevity
Dangerous Jinn (Earth-616),Advanced_Longevity
Daniel Rand (Earth-616),Advanced_Longevity
Daniel Whitehall (Earth-616),Advanced_Longevity
Davos (Earth-616),Advanced_Longevity
Eitri (Earth-616),Advanced_Longevity
Elias Bogan (Earth-616),Advanced_Longevity
Elijah Bradley (Earth-616),Advanced_Longevity
Eric Masterson (Earth-616),Advanced_Longevity
Eugene Judd (Earth-13133),Advanced_Longevity
Eugene Judd (Earth-616),Advanced_Longevity
Eurystheus (Earth-616),Advanced_Longevity
Ex Nihila (Earth-616),Advanced_Longevity
Ex Nihilo (Earth-616),Advanced_Longevity
Fah Lo Suee (Earth-616),Advanced_Longevity
Fandral (Earth-199999),Advanced_Longevity
Fat Cobra (Earth-616),Advanced_Longevity
Fin Fang Foom (Earth-1298),Advanced_Longevity
Fin Fang Foom (Earth-20051),Advanced_Longevity
Fin Fang Foom (Earth-2992),Advanced_Longevity
Fin Fang Foom (Earth-30847),Advanced_Longevity
Fin Fang Foom (Earth-311),Advanced_Longevity
Fin Fang Foom (Earth-3752),Advanced_Longevity
Fin Fang Foom (Earth-616),Advanced_Longevity
Fin Fang Foom (Earth-80734),Advanced_Longevity
Fin Fang Foom (Earth-9997),Advanced_Longevity
Fiona Knoblach (Earth-616),Advanced_Longevity
Flavius Scollio (Earth-616),Advanced_Longevity
Frederick Slade (Earth-616),Advanced_Longevity
Frigga (Earth-199999),Advanced_Longevity
Gabriel Shepherd (Earth-616),Advanced_Longevity
Gaia (Earth-616),Advanced_Longevity
Gardeners,Advanced_Longevity
Geirrodur (Earth-616),Advanced_Longevity
Gideon (Earth-77995),Advanced_Longevity
Gorr (God Butcher) (Earth-616),Advanced_Longevity
Harek Korgon (Earth-616),Advanced_Longevity
Harvey Elder (Earth-616),Advanced_Longevity
Heimdall (Earth-616),Advanced_Longevity
Heindrich von Wilhelm Innsbruck (Earth-616),Advanced_Longevity
Heinrich Zemo (Earth-616),Advanced_Longevity
Heinrich Zemo (Earth-8096),Advanced_Longevity
Hela (Earth-616),Advanced_Longevity
Helmut Zemo (Earth-12131),Advanced_Longevity
Helmut Zemo (Earth-616),Advanced_Longevity
Hercules (Earth-5692),Advanced_Longevity
Hui Lin (Earth-616),Advanced_Longevity
Hulk (Robert Bruce Banner),Advanced_Longevity
Isaiah Bradley (Earth-616),Advanced_Longevity
Ivan Petrovich Bezukhov (Earth-616),Advanced_Longevity
Jack Dancer (Earth-93060),Advanced_Longevity
Jack Dio (Earth-616),Advanced_Longevity
Jacob Fury (Earth-616),Advanced_Longevity
James Bradley (Earth-616),Advanced_Longevity
James Buchanan Barnes (Earth-616),Advanced_Longevity
James Howlett (Earth-10005),Advanced_Longevity
James Howlett (Earth-10995),Advanced_Longevity
James Howlett (Earth-12),Advanced_Longevity
James Howlett (Earth-12131),Advanced_Longevity
James Howlett (Earth-1298),Advanced_Longevity
James Howlett (Earth-1610),Advanced_Longevity
James Howlett (Earth-24133),Advanced_Longevity
James Howlett (Earth-4011),Advanced_Longevity
James Howlett (Earth-5631),Advanced_Longevity
James Howlett (Earth-616),Advanced_Longevity
James Howlett (Earth-BWXP),Advanced_Longevity
James Howlett (Earth-TRN414),Advanced_Longevity
James Howlett (Earth-TRN533),Advanced_Longevity
Jane Foster (Earth-788),Advanced_Longevity
Jennifer LeBeau (Earth-9602),Advanced_Longevity
Jerran Ko (Earth-616),Advanced_Longevity
Jiaying (Earth-199999),Advanced_Longevity
John Aman (Earth-616),Advanced_Longevity
"John Howlett, Jr. (Earth-4011)",Advanced_Longevity
Jonas Graymalkin (Earth-616),Advanced_Longevity
Jonas Graymalkin (Earth-BWXP),Advanced_Longevity
Josiah al hajj Saddiq (Earth-616),Advanced_Longevity
Kaleb (Earth-616),Advanced_Longevity
Kallark (Earth-616),Advanced_Longevity
Laura Kinney (Earth-616),Advanced_Longevity
Li Hua (Earth-616),Advanced_Longevity
Logan Wayne (Earth-9602),Advanced_Longevity
Loki Laufeyson (Earth-12131),Advanced_Longevity
Loki Laufeyson (Earth-199999),Advanced_Longevity
Loki Laufeyson (Earth-616),Advanced_Longevity
Loki Laufeyson (Earth-TRN413),Advanced_Longevity
Loki Laufeyson (Ikol) (Earth-616),Advanced_Longevity
Lorelei (Asgardian) (Earth-616),Advanced_Longevity
Louise Grant (Earth-616),Advanced_Longevity
Maelstrom (Earth-616),Advanced_Longevity
Malekith (Earth-199999),Advanced_Longevity
Malekith (Earth-616),Advanced_Longevity
Maria DeLorentti (Earth-93060),Advanced_Longevity
Mark Todd (Earth-616),Advanced_Longevity
Mary Mitchell (Earth-616),Advanced_Longevity
Mercy LeBeau (Earth-616),Advanced_Longevity
Michael Moran (Earth-TRN393),Advanced_Longevity
Moses Magnum (Earth-616),Advanced_Longevity
Naga (Earth-616),Advanced_Longevity
Namor McKenzie (Earth-616),Advanced_Longevity
Namora (Earth-2189),Advanced_Longevity
Natalia Romanova (Earth-12131),Advanced_Longevity
Natalia Romanova (Earth-616),Advanced_Longevity
Natalia Romanova (Earth-91119),Advanced_Longevity
Natalia Romanova (Earth-TRN400),Advanced_Longevity
Nathan Beame (Earth-616),Advanced_Longevity
Nathaniel Essex (Earth-161),Advanced_Longevity
Nathaniel Essex (Earth-92131),Advanced_Longevity
Nicholas Fury (Earth-11127),Advanced_Longevity
Nicholas Fury (Earth-12121),Advanced_Longevity
Nicholas Fury (Earth-1610),Advanced_Longevity
Nicholas Fury (Earth-200111),Advanced_Longevity
Nicholas Fury (Earth-2149),Advanced_Longevity
Nicholas Fury (Earth-616),Advanced_Longevity
"Nicholas Fury, Jr. (Earth-616)",Advanced_Longevity
Nikolaus Geist (Earth-616),Advanced_Longevity
Noah Black (Earth-616),Advanced_Longevity
Nobilus (Earth-616),Advanced_Longevity
Odin Borson (Earth-199999),Advanced_Longevity
Odin Borson (Earth-616),Advanced_Longevity
Odin Borson (Earth-8096),Advanced_Longevity
Odin Borson (Earth-841047),Advanced_Longevity
Odin Borson (Earth-91119),Advanced_Longevity
Ophelia Sarkissian (Earth-12131),Advanced_Longevity
Oubliette Midas (Earth-616),Advanced_Longevity
Perun (Earth-616),Advanced_Longevity
Pietro Allen (Earth-9602),Advanced_Longevity
Rancor (Earth-691),Advanced_Longevity
Raven Darkholme (Earth-10005),Advanced_Longevity
Raven Darkholme (Earth-616),Advanced_Longevity
Raven Darkholme (Earth-BWXP),Advanced_Longevity
Remus (Earth-616),Advanced_Longevity
Richard Jones (Earth-616),Advanced_Longevity
Richard Jones (Earth-69413),Advanced_Longevity
Robert Bruce Banner (Earth-9602),Advanced_Longevity
Roger Norvell (Earth-616),Advanced_Longevity
Samantha Destine (Earth-616),Advanced_Longevity
Sati (Earth-41001),Advanced_Longevity
Sebastian Shaw (Earth-10005),Advanced_Longevity
Seer (Earth-616),Advanced_Longevity
Shastra (Earth-616),Advanced_Longevity
Shialmar (Earth-616),Advanced_Longevity
Sihing (Earth-616),Advanced_Longevity
Silas Burr (Earth-616),Advanced_Longevity
Skurge (Earth-616),Advanced_Longevity
Slade Murdock (Earth-9602),Advanced_Longevity
Solaise (Earth-616),Advanced_Longevity
Sprite (Eternal) (Earth-616),Advanced_Longevity
Stephen Strange (Earth-2149),Advanced_Longevity
Sygnet (Earth-616),Advanced_Longevity
Thomas Halloway (Earth-616),Advanced_Longevity
Thor Odinson (Earth-199999),Advanced_Longevity
Thor Odinson (Earth-616),Advanced_Longevity
Thor Odinson (Earth-9411),Advanced_Longevity
Thor Odinson (Earth-TRN533),Advanced_Longevity
Titanians,Advanced_Longevity
Tral (Earth-616),Advanced_Longevity
Trenton Craft (Earth-616),Advanced_Longevity
Valgoth (Earth-616),Advanced_Longevity
Valtrauta (Earth-616),Advanced_Longevity
Vasili Dassaiev (Earth-616),Advanced_Longevity
Victor Creed (Earth-12131),Advanced_Longevity
Victor Creed (Earth-616),Advanced_Longevity
Viktor Uvarov (Earth-616),Advanced_Longevity
Virako (Earth-616),Advanced_Longevity
Vladimir Kravinoff (Earth-616),Advanced_Longevity
Vykin (Earth-9602),Advanced_Longevity
Hannibal King (Earth-616),Advanced_Longevity
Hans (Sinister) (Earth-616),Advanced_Longevity
Harold Osborn (Earth-1610),Advanced_Longevity
Hebe Panhellenios (Earth-616),Advanced_Longevity
Hector (Pantheon) (Earth-616),Advanced_Longevity
Heimdall (Earth-616),Advanced_Longevity
Hela (Earth-616),Advanced_Longevity
Hellverine (Earth-616),Advanced_Longevity
Henri Huang (Earth-928),Advanced_Longevity
Henry Logan (Earth-9602),Advanced_Longevity
Henry McCoy (Earth-1031),Advanced_Longevity
Henry McCoy (Earth-10330),Advanced_Longevity
Henry McCoy (Earth-1036),Advanced_Longevity
Henry McCoy (Earth-1038),Advanced_Longevity
Henry McCoy (Earth-12),Advanced_Longevity
Henry McCoy (Earth-1298),Advanced_Longevity
Henry McCoy (Earth-15104),Advanced_Longevity
Henry McCoy (Earth-161),Advanced_Longevity
Henry McCoy (Earth-1610),Advanced_Longevity
Henry McCoy (Earth-20051),Advanced_Longevity
Henry McCoy (Earth-2122),Advanced_Longevity
Henry McCoy (Earth-21993),Advanced_Longevity
Henry McCoy (Earth-295),Advanced_Longevity
Henry McCoy (Earth-398),Advanced_Longevity
Henry McCoy (Earth-4321),Advanced_Longevity
Henry McCoy (Earth-5113),Advanced_Longevity
Henry McCoy (Earth-523002),Advanced_Longevity
Henry McCoy (Earth-5692),Advanced_Longevity
Henry McCoy (Earth-70105),Advanced_Longevity
Henry McCoy (Earth-721),Advanced_Longevity
Henry McCoy (Earth-763),Advanced_Longevity
Henry McCoy (Earth-77995),Advanced_Longevity
Henry McCoy (Earth-80219),Advanced_Longevity
Henry McCoy (Earth-807128),Advanced_Longevity
Henry McCoy (Earth-811),Advanced_Longevity
Henry McCoy (Earth-81727),Advanced_Longevity
Henry McCoy (Earth-8320),Advanced_Longevity
Henry McCoy (Earth-8545),Advanced_Longevity
Henry McCoy (Earth-8649),Advanced_Longevity
Henry McCoy (Earth-90227),Advanced_Longevity
Henry McCoy (Earth-9105),Advanced_Longevity
Henry McCoy (Earth-9670),Advanced_Longevity
Henry McCoy (Earth-9916),Advanced_Longevity
Henry McCoy (Earth-9997),Advanced_Longevity
Henry McCoy (X-Beast) (Earth-616),Advanced_Longevity
Hephaestus Aetnaeus (Earth-616),Advanced_Longevity
Hera (Earth-9602),Advanced_Longevity
Hercules (Demi-God) (Earth-616),Advanced_Longevity
Hercules (Earth-5692),Advanced_Longevity
Hermes Diaktoros (Earth-616),Advanced_Longevity
Herr Kleiser (Earth-1610),Advanced_Longevity
Hippolyta (Earth-616),Advanced_Longevity
Hiro-Kala (Earth-616),Advanced_Longevity
Hobgoblin (Secret War) (Earth-616),Advanced_Longevity
Hope Summers (Earth-616),Advanced_Longevity
Hope Summers (Earth-91119),Advanced_Longevity
Hudson Logan (Earth-982),Advanced_Longevity
Hui Lin (Earth-616),Advanced_Longevity
Hulk (Robert Bruce Banner),Advanced_Longevity
Hydra Prime 001 (Earth-616),Advanced_Longevity
Hydra (Olympian Beast) (Earth-616),Advanced_Longevity
Hyperion (Earth-12041),Advanced_Longevity
Ian Zola (Earth-616),Advanced_Longevity
Imhotep (Demon) (Earth-616),Advanced_Longevity
Inari (Earth-616),Advanced_Longevity
Inez Temple (Earth-616),Advanced_Longevity
Inhumans (Skrull) (Earth-616),Advanced_Longevity
Inner Demons (Earth-616),Advanced_Longevity
J'onn J'onzz (Earth-9602),Advanced_Longevity
Jack Dio (Earth-616),Advanced_Longevity
Jack Harrison (Earth-616),Advanced_Longevity
Jack Russell (Earth-616),Advanced_Longevity
Jack Russell (Earth-91119),Advanced_Longevity
Jack Taggart (Earth-199999),Advanced_Longevity
"Jacob Gavin, Jr. (Earth-616)",Advanced_Longevity
Jacqueline Falsworth (Earth-616),Advanced_Longevity
James Howlett (Earth-10005),Advanced_Longevity
James Howlett (Earth-1004),Advanced_Longevity
James Howlett (Earth-1005),Advanced_Longevity
James Howlett (Earth-1008),Advanced_Longevity
James Howlett (Earth-10245),Advanced_Longevity
James Howlett (Earth-1031),Advanced_Longevity
James Howlett (Earth-1033),Advanced_Longevity
James Howlett (Earth-1034),Advanced_Longevity
James Howlett (Earth-1081),Advanced_Longevity
James Howlett (Earth-12),Advanced_Longevity
James Howlett (Earth-12025),Advanced_Longevity
James Howlett (Earth-12131),Advanced_Longevity
James Howlett (Earth-1298),Advanced_Longevity
James Howlett (Earth-13133),Advanced_Longevity
James Howlett (Earth-1610),Advanced_Longevity
James Howlett (Earth-199406),Advanced_Longevity
James Howlett (Earth-2149),Advanced_Longevity
James Howlett (Earth-2182),Advanced_Longevity
James Howlett (Earth-21993),Advanced_Longevity
James Howlett (Earth-24133),Advanced_Longevity
James Howlett (Earth-295),Advanced_Longevity
James Howlett (Earth-33900),Advanced_Longevity
James Howlett (Earth-3470),Advanced_Longevity
James Howlett (Earth-34922),Advanced_Longevity
James Howlett (Earth-50701),Advanced_Longevity
James Howlett (Earth-5631),Advanced_Longevity
James Howlett (Earth-5700),Advanced_Longevity
James Howlett (Earth-58163),Advanced_Longevity
James Howlett (Earth-600123),Advanced_Longevity
James Howlett (Earth-616),Advanced_Longevity
James Howlett (Earth-6195),Advanced_Longevity
James Howlett (Earth-70105),Advanced_Longevity
James Howlett (Earth-807128),Advanced_Longevity
James Howlett (Earth-81156),Advanced_Longevity
James Howlett (Earth-8545),Advanced_Longevity
James Howlett (Earth-900),Advanced_Longevity
James Howlett (Earth-90411),Advanced_Longevity
James Howlett (Earth-90816),Advanced_Longevity
James Howlett (Earth-91119),Advanced_Longevity
James Howlett (Earth-94831),Advanced_Longevity
James Howlett (Earth-97193),Advanced_Longevity
James Howlett (Earth-97799),Advanced_Longevity
James Howlett (Earth-9811),Advanced_Longevity
James Howlett (Earth-98193),Advanced_Longevity
James Howlett (Earth-9997),Advanced_Longevity
James Howlett (Earth-BWXP),Advanced_Longevity
James Howlett (Earth-TRN064),Advanced_Longevity
James Howlett (Earth-TRN414),Advanced_Longevity
James Howlett (Earth-TRN416),Advanced_Longevity
James Howlett (Earth-TRN417),Advanced_Longevity
James Howlett (Earth-TRN517),Advanced_Longevity
James Howlett (Earth-TRN533),Advanced_Longevity
James Howlett (Mojoverse),Advanced_Longevity
James Howlett (Onslaught Reborn) (Earth-616),Advanced_Longevity
James Hudson Jr. (Earth-1610),Advanced_Longevity
James Madrox (Cortex) (Earth-616),Advanced_Longevity
Jarko Grimwood (Earth-26320),Advanced_Longevity
Jazinda Kl'rt-Spawn (Earth-616),Advanced_Longevity
Jennifer LeBeau (Earth-9602),Advanced_Longevity
Jennifer Walters (Earth-20051),Advanced_Longevity
Jennifer Walters (Earth-616),Advanced_Longevity
Jennifer Walters (Earth-91119),Advanced_Longevity
Jenny (Dead Girl) (Earth-616),Advanced_Longevity
Johann Schmidt (Earth-12041),Advanced_Longevity
Johann Shmidt (Earth-59662),Advanced_Longevity
John Eisenhart (Earth-928),Advanced_Longevity
John Falsworth (Earth-616),Advanced_Longevity
John Greycrow (Earth-161),Advanced_Longevity
John Greycrow (Earth-616),Advanced_Longevity
"John Howlett, Jr. (Earth-4011)",Advanced_Longevity
John Jonah Jameson III (Earth-616),Advanced_Longevity
John Jones (Earth-9602),Advanced_Longevity
Johnathon Blaze (Earth-616),Advanced_Longevity
Johnathon Blaze (Earth-91119),Advanced_Longevity
Jolen (Earth-616),Advanced_Longevity
Jonathan Garrett (Earth-616),Advanced_Longevity
Jonathan Hart (Earth-616),Advanced_Longevity
Jonathan Martin (Earth-93060),Advanced_Longevity
Jonathan Richards (Earth-967),Advanced_Longevity
Joshua Foley (Earth-616),Advanced_Longevity
Joshua Guthrie (Earth-616),Advanced_Longevity
Jubilation Lee (Earth-13729),Advanced_Longevity
Jubilation Lee (Earth-616),Advanced_Longevity
Julia Cornwall (Earth-616),Advanced_Longevity
Kallark (Earth-616),Advanced_Longevity
Karima Shapandar (Earth-616),Advanced_Longevity
