ID,full_name,first_apperance,description,image
1011301,Anole,24173,null,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e635ddd9/portrait_incredible.jpg
1010802,Ant-Man (Eric O'Grady),36765,null,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/53176aa9df48d/portrait_incredible.jpg
1010801,Ant-Man (Scott Lang),17749,null,http://i.annihil.us/u/prod/marvel/i/mg/e/20/52696868356a0/portrait_incredible.jpg
1011208,Anthem,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009156,Apocalypse,7459,null,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/526166076a1d0/portrait_incredible.jpg
1011253,Apocalypse (Ultimate),null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010866,Aqueduct,null,null,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c0035b3630cd/portrait_incredible.jpg
1010773,Arachne,37899,null,http://i.annihil.us/u/prod/marvel/i/mg/b/70/5269526591794/portrait_incredible.jpg
1017438,Araña,2311,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009158,Arcade,17712,null,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0042091ab69/portrait_incredible.jpg
1010686,Arcana,3908,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009159,Archangel,17701,null,http://i.annihil.us/u/prod/marvel/i/mg/8/03/526165ed93180/portrait_incredible.jpg
1009160,Arclight,26024,null,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c0042067fd8b/portrait_incredible.jpg
1010784,Ares,24348,null,http://i.annihil.us/u/prod/marvel/i/mg/c/10/535ff3daea603/portrait_incredible.jpg
1011275,Argent,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011012,Armadillo,null,null,http://i.annihil.us/u/prod/marvel/i/mg/2/40/4c0032754da02/portrait_incredible.jpg
1011298,Armor (Hisako Ichiki),21511,null,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e6cbf990/portrait_incredible.jpg
1010827,Armory,17293,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009740,Arnim Zola,5402,The frail dwarfish Arnim Zola was born in s Switzerland where he became the worlds leading biochemist and genetic engineer.,http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c00393a4cb7c/portrait_incredible.jpg
1010748,Arsenic,null,null,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c00359a2be7b/portrait_incredible.jpg
1009161,Artiee,35509,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010718,Asgardian,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009162,Askew-Tronics,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010835,Asylum,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010336,Atlas (Team),17493,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009163,Aurora,17701,null,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c004203f1072/portrait_incredible.jpg
1009164,Avalanche,6929,null,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c0042010d383/portrait_incredible.jpg
1009165,Avengers,42539,Earths Mightiest Heroes joined forces to take on threats that were too big for any one hero to tackle. With a roster that has included Captain America Iron Man AntMan Hulk Thor Wasp and dozens more over the years the Avengers have come to be regarded as Earths No.  team.,http://i.annihil.us/u/prod/marvel/i/mg/9/20/5102c774ebae7/portrait_incredible.jpg
1015239,Avengers (Ultimate),30597,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011766,Azazel (Mutant),13969,A mutant from biblical times Azazel is the ruler of the Neyaphem and claims that the Earth and everything on it belongs to him.,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009168,Banshee,12676,null,http://i.annihil.us/u/prod/marvel/i/mg/b/03/52740e4619f54/portrait_incredible.jpg
1009596,Banshee (Theresa Rourke),7426,The daughter of former XMen member Sean Cassidy a.k.a. Banshee and Maeve Rourke Theresa Rourke was raised by her first cousin once removed mutant terrorist Thomas Cassidy a.k.a. Black Tom.,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4ce5a1a50e56b/portrait_incredible.jpg
1009169,Baron Strucker,12848,null,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0041fb5a90d/portrait_incredible.jpg
1009170,Baron Zemo (Heinrich Zemo),7310,null,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c0041f84c9fe/portrait_incredible.jpg
1010906,Baron Zemo (Helmut Zemo),7739,null,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035890fb0a/portrait_incredible.jpg
1011137,Baroness S'Bak,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011354,Barracuda,41071,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009550,Bart Rozum,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009171,Bastion,7422,null,http://i.annihil.us/u/prod/marvel/i/mg/d/80/52695253215f4/portrait_incredible.jpg
1009172,Batroc the Leaper,36945,null,http://i.annihil.us/u/prod/marvel/i/mg/c/80/4ce59eb840da5/portrait_incredible.jpg
1009173,Battering Ram,17961,null,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708/portrait_incredible.jpg
1009174,Beak,5451,null,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c0040b8329ad/portrait_incredible.jpg
1009175,Beast,44580,null,http://i.annihil.us/u/prod/marvel/i/mg/2/80/511a79a0451a3/portrait_incredible.jpg
1010909,Beast (Earth-311),null,null,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035813dc4c/portrait_incredible.jpg
1010908,Beast (Ultimate),15770,null,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/53176a9be110c/portrait_incredible.jpg
1009176,Becatron,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009177,Bedlam,17506,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009178,Beef,13822,null,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708/portrait_incredible.jpg
1009179,Beetle (Abner Jenkins),13151,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009329,Ben Grimm,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009489,Ben Parker,24407,null,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c003d00c8ed9/portrait_incredible.jpg
1011346,Ben Reilly,6809,Ben Reilly was the most genetically stable of the many clones of SpiderMan created by Professor Miles Warren the Jackal.,http://i.annihil.us/u/prod/marvel/i/mg/2/20/4ce5a6abaea69/portrait_incredible.jpg
1010782,Ben Urich,37255,Ben Urich is a reporter for the Daily Bugle who has many ties to the citys superhero community.,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c00373d10e5e/portrait_incredible.jpg
1010829,Bengal,20679,null,http://i.annihil.us/u/prod/marvel/i/mg/3/70/5269523ee6c03/portrait_incredible.jpg
1009180,Beta-Ray Bill,36644,null,http://i.annihil.us/u/prod/marvel/i/mg/3/90/52602f3e88d25/portrait_incredible.jpg
1010325,Betty Brant,37255,null,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4c7c644f453fb/portrait_incredible.jpg
1009548,Betty Ross,29378,null,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/4ce5a12071562/portrait_incredible.jpg
1011138,Beyonder,10374,null,http://i.annihil.us/u/prod/marvel/i/mg/7/10/528d31df87c49/portrait_incredible.jpg
1011296,Bi-Beast,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010843,Big Bertha,8463,null,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4c0035cfca8b6/portrait_incredible.jpg
1009181,Big Wheel,6575,null,http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c0040b26877d/portrait_incredible.jpg
1011262,Bill Hollister,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009182,Bishop,17701,null,http://i.annihil.us/u/prod/marvel/i/mg/3/70/52602f4b42d98/portrait_incredible.jpg
1011224,Bishop (Ultimate),null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009183,Black Bird,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009184,Black Bolt,7088,null,http://i.annihil.us/u/prod/marvel/i/mg/1/20/52696929dc721/portrait_incredible.jpg
1017330,Black Bolt (Marvel War of Heroes),null,null,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/5239c021b3bfc/portrait_incredible.jpg
1009185,Black Cat,6587,null,http://i.annihil.us/u/prod/marvel/i/mg/e/03/526952357d91c/portrait_incredible.jpg
1010910,Black Cat (Ultimate),37460,null,http://i.annihil.us/u/prod/marvel/i/mg/5/80/4c00357da502e/portrait_incredible.jpg
1010859,Black Crow,20185,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009186,Black Knight (Sir Percy of Scandia),12725,null,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59ed1590a7/portrait_incredible.jpg
1009187,Black Panther,43498,null,http://i.annihil.us/u/prod/marvel/i/mg/6/60/5261a80a67e7d/portrait_incredible.jpg
1011130,Black Panther (Ultimate),17378,null,http://i.annihil.us/u/prod/marvel/i/mg/6/20/53176a7b3a4e4/portrait_incredible.jpg
1010356,Black Queen,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010687,Black Tarantula,5997,null,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0038dfc1270/portrait_incredible.jpg
1009188,Black Tom,20565,null,http://i.annihil.us/u/prod/marvel/i/mg/f/70/4c0040a736154/portrait_incredible.jpg
1009189,Black Widow,43495,null,http://i.annihil.us/u/prod/marvel/i/mg/f/30/50fecad1f395b/portrait_incredible.jpg
1017296,Black Widow (LEGO Marvel Super Heroes),null,null,http://i.annihil.us/u/prod/marvel/i/mg/6/30/5239c3722bdc5/portrait_incredible.jpg
1010911,Black Widow (Ultimate),15773,null,http://i.annihil.us/u/prod/marvel/i/mg/2/03/53176a690b261/portrait_incredible.jpg
1017109,Black Widow/Natasha Romanoff (MAA),null,Natasha Romanoff also known as Black Widow is a worldrenowned super spy and one of S.H.I.E.L.D.s top agents. Her handtohand combat skills intelligence and unpredictability make her a deadly secret weapon. True to her mysterious nature Black Widow comes and goes as she pleases but always appears exactly when her particular skills are needed.,http://i.annihil.us/u/prod/marvel/i/mg/a/03/523219743a99b/portrait_incredible.jpg
1009190,Blackheart,8263,null,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/4c0040a0ee5ba/portrait_incredible.jpg
1010881,Blacklash,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011349,Blackout,23373,null,http://i.annihil.us/u/prod/marvel/i/mg/c/60/4ce5a6b641eb9/portrait_incredible.jpg
1009191,Blade,5133,null,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/523ca6f2b11e4/portrait_incredible.jpg
1009195,Blastaar,37902,null,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/52695222c22e0/portrait_incredible.jpg
1010830,Blazing Skull,1687,null,http://i.annihil.us/u/prod/marvel/i/mg/8/d0/4ce5a37a830a3/portrait_incredible.jpg
1011291,Blindfold,null,null,http://i.annihil.us/u/prod/marvel/i/mg/5/10/4ce5a5f7cabea/portrait_incredible.jpg
1009197,Blink,17870,null,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4ce59eeb38a9a/portrait_incredible.jpg
1009198,Blizzard,19915,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009199,Blob,6929,null,http://i.annihil.us/u/prod/marvel/i/mg/1/10/4c7c648178328/portrait_incredible.jpg
1011132,Blob (Ultimate),15721,null,http://i.annihil.us/u/prod/marvel/i/mg/9/00/4ce5a51b309b7/portrait_incredible.jpg
1009200,Blockbuster,7639,null,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4c0040969fa92/portrait_incredible.jpg
1009201,Blok,14102,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009202,Bloke,17962,null,http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c00409415b3b/portrait_incredible.jpg
1011416,Blonde Phantom,40360,null,http://i.annihil.us/u/prod/marvel/i/mg/6/00/4ce5a77360c30/portrait_incredible.jpg
1011073,Bloodaxe,11778,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009203,Bloodscream,14201,null,http://i.annihil.us/u/prod/marvel/i/mg/6/e0/4c7c647c3f069/portrait_incredible.jpg
1009204,Bloodstorm,10493,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010850,Bloodstrike,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011113,Blue Blade,16701,null,http://i.annihil.us/u/prod/marvel/i/mg/b/e0/4ce5a4b76d1c0/portrait_incredible.jpg
1011339,Blue Marvel,24348,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011264,Blue Shield,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010688,Blur,3908,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011119,"Bob, Agent of Hydra",21845,A cowardly young man Bob was persuaded into joining the criminal organization HYDRA and has had numerous encounters with Deadpool and other Marvel heroes.,http://i.annihil.us/u/prod/marvel/i/mg/e/a0/4ce5a4c2cd41b/portrait_incredible.jpg
1010366,Boom Boom,10339,When Tabitha Smiths mutant nature manifested at age  she ran away from her abusive home and eventually hooked up with the New Mutants and subsequently XForce.,http://i.annihil.us/u/prod/marvel/i/mg/6/00/4ce5a25d34245/portrait_incredible.jpg
1009205,Boomer,7395,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010371,Boomerang,15869,null,http://i.annihil.us/u/prod/marvel/i/mg/2/30/4c00390504a3b/portrait_incredible.jpg
1009206,Box,12693,null,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/4ce59ef63362d/portrait_incredible.jpg
1011236,Bride of Nine Spiders (Immortal Weapons),16534,null,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/4ce5a592212cc/portrait_incredible.jpg
1014981,Bromley,null,null,http://i.annihil.us/u/prod/marvel/i/mg/c/00/4cd05b51df5c5/portrait_incredible.jpg
1009208,Brood,15853,null,http://i.annihil.us/u/prod/marvel/i/mg/d/40/5260321259f91/portrait_incredible.jpg
1011090,Brother Voodoo,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009209,Brotherhood of Evil Mutants,20318,null,http://i.annihil.us/u/prod/marvel/i/mg/3/30/539f01b910d91/portrait_incredible.jpg
1014973,Brotherhood of Mutants (Ultimate),15743,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009167,Bruce Banner,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009210,Brute,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009211,Bucky,22273,null,http://i.annihil.us/u/prod/marvel/i/mg/d/03/4dc8478464008/portrait_incredible.jpg
1011038,Bug,22433,null,http://i.annihil.us/u/prod/marvel/i/mg/8/30/4c00323e50dda/portrait_incredible.jpg
1010887,Bulldozer,17496,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009212,Bullseye,12695,null,http://i.annihil.us/u/prod/marvel/i/mg/6/30/539a08f322fd1/portrait_incredible.jpg
1009213,Bushwacker,8239,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011101,Butterfly,null,null,http://i.annihil.us/u/prod/marvel/i/mg/8/00/4c0030b5dbc50/portrait_incredible.jpg
1009214,Cable,39772,null,http://i.annihil.us/u/prod/marvel/i/mg/3/90/526165df2b584/portrait_incredible.jpg
1017317,Cable (Deadpool),null,null,http://i.annihil.us/u/prod/marvel/i/mg/f/50/5239c22332b00/portrait_incredible.jpg
1017307,Cable (Marvel: Avengers Alliance),null,null,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/5239b5f863d43/portrait_incredible.jpg
1011252,Cable (Ultimate),null,null,http://i.annihil.us/u/prod/marvel/i/mg/c/10/53176a2ccd8bc/portrait_incredible.jpg
1017472,Cable (X-Men: Battle of the Atom),null,null,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/52d729bb9b84b/portrait_incredible.jpg
1011209,Calamity,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009216,Caliban,7390,null,http://i.annihil.us/u/prod/marvel/i/mg/f/60/52bc8ac6e48db/portrait_incredible.jpg
1009217,Callisto,10550,null,http://i.annihil.us/u/prod/marvel/i/mg/f/90/4c004082711b8/portrait_incredible.jpg
1010912,Callisto (Age of Apocalypse),null,null,http://i.annihil.us/u/prod/marvel/i/mg/f/c0/535feb96ee0fb/portrait_incredible.jpg
1009218,Calypso,8308,null,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59f17087ab/portrait_incredible.jpg
1011139,Cammi,null,null,http://i.annihil.us/u/prod/marvel/i/mg/d/a0/4c00309587477/portrait_incredible.jpg
1009219,Cannonball,23645,null,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c00407fb91b5/portrait_incredible.jpg
1011276,Cap'n Oz,null,William was born into the ClanDestine making him a creature that is part magic.  After events surrounding the death of his brother Vincent he moved to Australia where he started an acting career as the superhero Capn Oz.,http://i.annihil.us/u/prod/marvel/i/mg/c/10/4c002ee7bf3f5/portrait_incredible.jpg
1009220,Captain America,17741,Vowing to serve his country any way he could young Steve Rogers took the super soldier serum to become Americas oneman army. Fighting for the red white and blue for over  years Captain America is the living breathing symbol of freedom and liberty.,http://i.annihil.us/u/prod/marvel/i/mg/3/50/537ba56d31087/portrait_incredible.jpg
1010914,Captain America (House of M),2420,null,http://i.annihil.us/u/prod/marvel/i/mg/6/10/53176a1e7c0d5/portrait_incredible.jpg
1017295,Captain America (LEGO Marvel Super Heroes),null,null,http://i.annihil.us/u/prod/marvel/i/mg/d/b0/5239c38051946/portrait_incredible.jpg
1017327,Captain America (Marvel War of Heroes),null,null,http://i.annihil.us/u/prod/marvel/i/mg/2/03/5239c005a4827/portrait_incredible.jpg
1017575,Captain America (Sam Wilson),40285,p class=BodySam Wilson a Harlem native previously operated under the name Falcon fighting alongside the Avengers. When his longtime friend Steve Rogers stepped down as Captain America Wilson was handpicked to fill the role. Now the former Falcon soars through the skies wearing red white and blue.p,http://i.annihil.us/u/prod/marvel/i/mg/c/80/545a84a75ddaf/portrait_incredible.jpg
1010913,Captain America (Ultimate),18481,null,http://i.annihil.us/u/prod/marvel/i/mg/5/80/53176a0bb810c/portrait_incredible.jpg
1017105,Captain America/Steve Rogers (MAA),null,During World War II Steve Rogers enlisted in the military and was injected with a superserum that turned him into supersoldier Captain America Hes a skilled strategist and even more skilled with his shield but its his courage and good heart that makes Captain America both a leader and a true hero. ,http://i.annihil.us/u/prod/marvel/i/mg/3/10/52321928eaa72/portrait_incredible.jpg
