id,title,issueNumber,issue_date,series_title,series_id,print_price
46406,Savage Wolverine (2013) #3,3,2013-03-20T00:00:00-0400,Savage Wolverine (2013 - Present),17539,3.99
12253,X-Factor (1986) #36,36,1989-01-10T00:00:00-0500,X-Factor (1986 - 1998),2098,0
40784,Thunderbolts (2006) #172,172,2012-04-04T00:00:00-0400,Thunderbolts (2006 - 2012),18527,2.99
21907,Wolverine (2003) #50 (Black and White Variant),50,2007-01-24T00:00:00-0500,Wolverine (2003 - 2009),632,3.99
868,Uncanny X-Men (1963) #450,450,2004-10-06T00:00:00-0400,Uncanny X-Men (1963 - 2011),2258,2.25
1567,District X (2004) #9,9,2005-01-12T00:00:00-0500,District X (2004 - 2005),733,2.99
25114,Essential Ghost Rider Vol. 3 (Trade Paperback),0,2009-10-07T00:00:00-0400,Essential Ghost Rider Vol. 3 (2009 - Present),7748,19.99
41511,Dr. Strange: So (2011) #1,1,2012-05-02T00:00:00-0400,Dr. Strange: So (2011 - Present),15467,0
14604,"Peter Parker, the Spectacular Spider-Man (1976) #155",155,1989-10-10T00:00:00-0400,"Peter Parker, the Spectacular Spider-Man (1976 - 1998)",2271,1
275,Wolverine/Captain America (2004) #2,2,2004-02-11T00:00:00-0500,Wolverine/Captain America (2004),545,2.99
2401,Ghost Rider (2005) #2,2,2005-10-12T00:00:00-0400,Ghost Rider (2005 - 2006),805,2.99
18194,X-Man (1995) #25,25,1997-03-10T00:00:00-0500,X-Man (1995 - 2000),3643,2.99
22582,Civil War (Hardcover),0,2008-11-12T00:00:00-0500,Civil War (2008 - Present),6208,39.99
36540,Black Widow (2010) #6 (CAMPBELL VARIANT),6,2010-09-22T00:00:00-0400,Black Widow (2010),9706,2.99
7910,Captain America Comics (1941) #65,65,1948-01-10T00:00:00-0500,Captain America Comics (1941 - 1950),1998,0.1
983,Incredible Hulk Vol. I: Return of the Monster (Trade Paperback),0,1999-11-30T00:00:00-0500,Incredible Hulk Vol. I: Return of the Monster (1999),45,9.99
4447,Beyond! (2006) #1,1,2006-07-05T00:00:00-0400,Beyond! (2006),997,2.99
6660,Amazing Spider-Man (1963) #26,26,1965-07-10T00:00:00-0400,Amazing Spider-Man (1963 - 1998),1987,0.12
31146,Avengers: The Childrens Crusade (2010) #7,7,2011-08-31T00:00:00-0400,Avengers: The Childrens Crusade (2010 - 2012),9864,3.99
13852,Uncanny X-Men (1963) #311,311,1994-04-10T00:00:00-0400,Uncanny X-Men (1963 - 2011),2258,1.25
6955,Avengers (1963) #101,101,1972-07-10T00:00:00-0400,Avengers (1963 - 1996),1991,0.2
28769,Avengers/Uncanny X-Men: Utopia (Trade Paperback),0,2010-03-10T00:00:00-0500,Avengers/Uncanny X-Men: Utopia (2010),9414,34.99
28225,Amazing Spider-Man (1999) #620,620,2010-02-10T00:00:00-0500,Amazing Spider-Man (1999 - 2013),454,2.99
46231,Marvel Masterworks: Ant-Man/Giant-Man (Trade Paperback),0,2013-11-27T00:00:00-0500,Marvel Masterworks: Ant-Man/Giant-Man (2013),17426,24.99
17591,Punisher (2004) #54,54,2008-01-23T00:00:00-0500,Punisher (2004 - 2008),698,2.99
40163,Uncanny X-Men (2011) #10,10,2012-04-11T00:00:00-0400,Uncanny X-Men (2011 - 2012),14914,3.99
3360,Amazing Spider-Man (1999) #528,528,2006-01-25T00:00:00-0500,Amazing Spider-Man (1999 - 2013),454,2.5
39729,Uncanny X-Men (1963) #539 (I Am Captain America),539,2011-06-29T00:00:00-0400,Uncanny X-Men (1963 - 2011),2258,3.99
15592,Fantastic Four (1998) #69,69,-0001-11-30T00:00:00-0500,Fantastic Four (1998 - 2012),421,0
40179,X-Factor (2005) #242,242,2012-08-15T00:00:00-0400,X-Factor (2005 - Present),1035,2.99
14186,Wolverine (1988) #64,64,1992-12-10T00:00:00-0500,Wolverine (1988 - 2003),2262,0
46910,DEADPOOL KILLUSTRATED TPB (Trade Paperback),0,2013-06-12T00:00:00-0400,DEADPOOL KILLUSTRATED TPB (2013),17674,14.99
8222,Daredevil (1963) #233,233,1986-08-10T00:00:00-0400,Daredevil (1963 - 1998),2002,0.75
11427,Tales to Astonish (1959) #80,80,1966-06-10T00:00:00-0400,Tales to Astonish (1959 - 1968),2080,0.12
22945,Soleil: Samurai (2008) #4,4,2008-12-17T00:00:00-0500,Soleil: Samurai (2008),5686,5.99
11734,Thor (1966) #406,406,1989-08-10T00:00:00-0400,Thor (1966 - 1996),2083,0.75
14578,"Peter Parker, the Spectacular Spider-Man (1976) #131",131,1987-10-10T00:00:00-0400,"Peter Parker, the Spectacular Spider-Man (1976 - 1998)",2271,0.75
21871,Mighty Avengers (2007) #1 (Yu variant),1,2007-03-07T00:00:00-0500,Mighty Avengers (2007 - 2010),1866,3.99
3624,Sensational Spider-Man (2006) #23,23,2006-01-18T00:00:00-0500,Sensational Spider-Man (2006 - 2007),722,0
37075,Carnage (2010) #1 (CARNAGE VARIANT),1,2010-10-20T00:00:00-0400,Carnage (2010 - 2011),11942,3.99
29051,Deadpool (2008) #21,21,2010-03-24T00:00:00-0400,Deadpool (2008 - 2012),5701,2.99
41152,Fantastic Four (1998) #1,1,2012-05-16T00:00:00-0400,Fantastic Four (1998 - 2012),421,2.99
774,Silver Surfer (2003) #12,12,2004-08-25T00:00:00-0400,Silver Surfer (2003 - 2004),491,2.99
13899,Uncanny X-Men (1963) #358,358,1998-08-10T00:00:00-0400,Uncanny X-Men (1963 - 2011),2258,1.99
10047,Marvel Comics Presents (1988) #132,132,1993-07-10T00:00:00-0400,Marvel Comics Presents (1988 - 1995),2039,1.5
7504,Captain America (1968) #123,123,1970-03-10T00:00:00-0500,Captain America (1968 - 1996),1996,0.15
10082,Marvel Comics Presents (1988) #164,164,1994-10-10T00:00:00-0400,Marvel Comics Presents (1988 - 1995),2039,1.75
23915,70th Anniversary Alan Davis Poster (2009) #1,1,2009-04-29T00:00:00-0400,70th Anniversary Alan Davis Poster (2009 - Present),7082,0
27146,Wolverine Magazine (2009) #4,4,2009-11-25T00:00:00-0500,Wolverine Magazine (2009 - Present),8624,6.99
29709,Wolverine: Old Man Logan Giant-Size (2009) #1 (MCGUINNESS VARIANT),1,2009-09-23T00:00:00-0400,Wolverine: Old Man Logan Giant-Size (2009),8622,4.99
22805,Generation X (1994) #73,73,2001-03-01T00:00:00-0500,Generation X (1994 - 2001),6256,2.25
17127,Sub-Mariner (1968) #69,69,1974-03-10T00:00:00-0400,Sub-Mariner (1968 - 1974),2989,0.2
36184,Marvel Zombies Supreme (2010) #4,4,2011-05-04T00:00:00-0400,Marvel Zombies Supreme (2010 - 2011),12309,3.99
18476,Ultimate War (2003) #3,3,2003-03-10T00:00:00-0500,Ultimate War (2003),3659,0
19703,Marvel Team-Up (1972) #8,8,1973-04-10T00:00:00-0500,Marvel Team-Up (1972 - 1985),3716,0.2
11880,Tomb of Dracula (1972) #54,54,1977-03-10T00:00:00-0500,Tomb of Dracula (1972 - 1979),2084,0.3
41866,Ultimate Comics Ultimates Must Have (2011) #1,1,2011-12-07T00:00:00-0500,Ultimate Comics Ultimates Must Have (2011),15608,4.99
2003,Marvel Nemesis: The Imperfects (2005) #1,1,2005-05-11T00:00:00-0400,Marvel Nemesis: The Imperfects (2005),881,2.99
5991,Ultimate Tales Flip Magazine (2005) #22,22,2007-02-07T00:00:00-0500,Ultimate Tales Flip Magazine (2005 - 2007),929,4.99
10105,Marvel Comics Presents (1988) #27,27,1989-09-10T00:00:00-0400,Marvel Comics Presents (1988 - 1995),2039,1.25
13035,Fantastic Four (1961) #226,226,1981-01-10T00:00:00-0500,Fantastic Four (1961 - 1998),2121,0.5
40133,Uncanny X-Men Vol. 2 (Trade Paperback),0,2012-12-05T00:00:00-0500,Uncanny X-Men Vol. 2 (2011 - Present),14904,19.99
7893,Captain America Comics (1941) #5,5,1941-08-10T00:00:00-0400,Captain America Comics (1941 - 1950),1998,0.1
13381,Spider-Girl (1998) #6,6,1999-03-10T00:00:00-0500,Spider-Girl (1998 - 2006),417,1.99
2529,Thor: Blood Oath (2005) #3,3,2005-10-19T00:00:00-0400,Thor: Blood Oath (2005),938,2.99
14656,"Peter Parker, the Spectacular Spider-Man (1976) #201",201,1993-06-10T00:00:00-0400,"Peter Parker, the Spectacular Spider-Man (1976 - 1998)",2271,0
2219,Marvel Masterworks: The X-Men Vol. 5 (Hardcover),0,2005-07-13T00:00:00-0400,Marvel Masterworks: The X-Men Vol. 5 (2005),1509,9.99
17366,Marvel Illustrated: The Iliad (2007) #1,1,2007-12-19T00:00:00-0500,Marvel Illustrated: The Iliad (2007),3176,2.99
714,Spider-Man/Doctor Octopus: Year One (2004) #1,1,2004-06-16T00:00:00-0400,Spider-Man/Doctor Octopus: Year One (2004),736,2.99
42227,Avengers: The Crossing Omnibus (Hardcover),1,2012-05-09T00:00:00-0400,Avengers: The Crossing Omnibus (2011 - Present),15743,99.99
37202,Marvel Girl (2010) #1,1,2011-02-16T00:00:00-0500,Marvel Girl (2010 - 2011),13345,2.99
39228,Herc (2010) #3 (X-Men Art Variant),3,2011-05-18T00:00:00-0400,Herc (2010 - 2011),9898,2.99
16053,Marvel Knights (2002) #5,5,-0001-11-30T00:00:00-0500,Marvel Knights (2002),2575,0
5969,New Avengers Vol. 5: Civil War Premiere (Hardcover),0,2007-02-28T00:00:00-0500,New Avengers Vol. 5: Civil War Premiere (2007),1901,9.99
45833,AVENGERS VOL. 2: THE LAST WHITE EVENT (Hardcover),0,2013-07-10T00:00:00-0400,AVENGERS VOL. 2: THE LAST WHITE EVENT (2013),17299,24.99
15325,Thunderbolts (1997) #22,22,-0001-11-30T00:00:00-0500,Thunderbolts (1997 - 2003),2296,0
12174,X-Factor (1986) #1,1,1986-02-10T00:00:00-0500,X-Factor (1986 - 1998),2098,0
14675,"Peter Parker, the Spectacular Spider-Man (1976) #219",219,1994-12-10T00:00:00-0500,"Peter Parker, the Spectacular Spider-Man (1976 - 1998)",2271,0
24798,Daring Mystery Comics 70th Anniversary Special (2009) #1,1,2009-09-02T00:00:00-0400,Daring Mystery Comics 70th Anniversary Special (2009),7674,3.99
22179,Punisher War Journal (1988) #25,25,1990-12-10T00:00:00-0500,Punisher War Journal (1988 - 1995),5860,0
13699,Uncanny X-Men (1963) #158,158,1982-06-10T00:00:00-0400,Uncanny X-Men (1963 - 2011),2258,0
22383,The Stand: Captain Trips (2008) #2 (PERKINS VARIANT),2,2008-10-08T00:00:00-0400,The Stand: Captain Trips (2008 - 2009),5754,3.99
23940,Thunderbolts (2006) #131,131,2009-04-29T00:00:00-0400,Thunderbolts (2006 - 2012),18527,2.99
17938,West Coast Avengers Annual (1986) #1,1,1986-01-01T00:00:00-0500,West Coast Avengers Annual (1986 - 1988),3632,1.25
7488,Captain America (1968) #107,107,1968-11-10T00:00:00-0500,Captain America (1968 - 1996),1996,0.12
49587,Ms. Marvel (2014) #1 (Adams Sketch Variant),1,2014-02-05T00:00:00-0500,Ms. Marvel (2014 - Present),18468,2.99
9946,Love Romances (1949) #51,51,-0001-11-30T00:00:00-0500,Love Romances (1949 - 1961),2034,0
25428,Incredible Hercules (2008) #128 (WOLVERINE ART VARIANT),128,2009-04-22T00:00:00-0400,Incredible Hercules (2008 - 2010),3762,2.99
14849,Ultimate Spider-Man (2000) #22,22,2002-07-10T00:00:00-0400,Ultimate Spider-Man (2000 - 2009),466,3.5
41553,Deadpool Kills the Marvel Universe (2011) #1,1,2012-08-01T00:00:00-0400,Deadpool Kills the Marvel Universe (2011 - 2012),15487,2.99
24912,Dark Wolverine (2009) #75,75,2009-06-24T00:00:00-0400,Dark Wolverine (2009 - 2010),7707,3.99
7839,Captain America (1996) #12,12,1997-10-10T00:00:00-0400,Captain America (1996 - 1998),6478,0
21776,Foolkiller: Short Time (2008) #2,2,2008-08-20T00:00:00-0400,Foolkiller: Short Time (2008),5197,3.99
19468,Marvelous Adventures of Gus Beezer: Spider-Ma (2003) #1,1,2003-05-01T00:00:00-0400,Marvelous Adventures of Gus Beezer: Spider-Ma (2003),3713,0
16348,Tales of Suspsnse Transport (1959) #16,16,1961-04-10T00:00:00-0500,Tales of Suspsnse Transport (1959 - 1968),2725,0.1
40282,Avengers: West Coast Avengers - Sins of the Past (Hardcover),1,2011-12-07T00:00:00-0500,Avengers: West Coast Avengers - Sins of the Past (2011 - Present),14940,34.99
10096,Marvel Comics Presents (1988) #19,19,1989-05-20T00:00:00-0400,Marvel Comics Presents (1988 - 1995),2039,1.25
13214,Fantastic Four (1961) #388,388,1994-05-10T00:00:00-0400,Fantastic Four (1961 - 1998),2121,0
32387,Punisher Max MGC (2010) #1,1,2010-03-31T00:00:00-0400,Punisher Max MGC (2010),9362,1
29819,Daredevil (1998) #500 (2ND PRINTING VARIANT),500,2009-10-07T00:00:00-0400,Daredevil (1998 - 2011),449,4.99
41267,Age of Apocalypse (2011) #8,8,2012-10-03T00:00:00-0400,Age of Apocalypse (2011 - Present),15331,2.99
22033,Skrulls Vs. Power Pack (2008) #3,3,2008-09-17T00:00:00-0400,Skrulls Vs. Power Pack (2008),5209,2.99
20670,Mighty Avengers (2007) #9,9,2008-02-20T00:00:00-0500,Mighty Avengers (2007 - 2010),1866,2.99
11311,Tales of Suspense (1959) #67,67,1965-07-10T00:00:00-0400,Tales of Suspense (1959 - 1968),2079,0.12
12523,Uncanny X-Men (1963) #71,71,1971-08-10T00:00:00-0400,Uncanny X-Men (1963 - 2011),2258,0
17,Ultimate Fantastic Four (2003) #13,13,2004-11-24T00:00:00-0500,Ultimate Fantastic Four (2003 - 2009),702,2.25
14183,Wolverine (1988) #61,61,1992-09-30T00:00:00-0400,Wolverine (1988 - 2003),2262,0
38393,Captain America (2011) #11,11,2012-05-09T00:00:00-0400,Captain America (2011 - 2012),13830,3.99
38563,Emma (2011) #2,2,2011-04-06T00:00:00-0400,Emma (2011),13906,3.99
540,Uncanny X-Men (1963) #447,447,2004-08-04T00:00:00-0400,Uncanny X-Men (1963 - 2011),2258,2.25
34777,Orson Scott Card's Ender in Exile (2010) #5,5,2010-10-06T00:00:00-0400,Orson Scott Card's Ender in Exile (2010),12063,3.99
9577,Iron Man (1968) #324,324,1996-01-10T00:00:00-0500,Iron Man (1968 - 1996),2029,0
39295,Deadpool: All in the Family (Trade Paperback),1,2011-09-14T00:00:00-0400,Deadpool: All in the Family (2011 - Present),14270,12.99
22667,Ghost Rider (1990) #33,33,1993-01-10T00:00:00-0500,Ghost Rider (1990 - 1998),6255,0
10678,Sgt. Fury and His Howling Commandos (1963) #21,21,1965-08-10T00:00:00-0400,Sgt. Fury and His Howling Commandos (1963 - 1974),2067,0
5917,Blade (2006) #5 (Bloody Variant),5,2007-01-10T00:00:00-0500,Blade (2006 - 2007),1123,2.99
37302,Marvel Adventures Super Heroes Special (2010) #1,1,1961-01-01T00:00:00-0500,Marvel Adventures Super Heroes Special (2010 - Present),13386,0
26369,Ythaq - The Forsaken World (Hardcover),0,2009-06-17T00:00:00-0400,Ythaq - The Forsaken World (2009 - Present),8283,24.99
4166,Ultimate Marvel Flip Magazine (2005) #12,12,2006-05-03T00:00:00-0400,Ultimate Marvel Flip Magazine (2005 - 2007),928,4.99
11766,Thor (1966) #438,438,1991-11-10T00:00:00-0500,Thor (1966 - 1996),2083,1
50121,Black Widow (2014) #2 (Tbd Artist Variant B),2,2014-01-22T00:00:00-0500,Black Widow (2014 - Present),18138,3.99
23284,Bug (1997) #1,1,1997-03-10T00:00:00-0500,Bug (1997),6667,0
26041,New Avengers Vol. 11: Search for the Sorcerer Supreme (Trade Paperback),0,2009-10-28T00:00:00-0400,New Avengers Vol. 11: Search for the Sorcerer Supreme (2009 - Present),8143,15.99
7866,Captain America Comics (1941) #25,25,1943-04-10T00:00:00-0400,Captain America Comics (1941 - 1950),1998,0.1
34249,X-Men (2010) #1,1,2010-07-08T00:00:00-0400,X-Men (2010 - 2013),9906,3.99
49968,X-Men (2013) #10 (Cassaday Sketch Variant),10,2014-02-05T00:00:00-0500,X-Men (2013 - Present),17635,3.99
42644,Amazing Spider-Man (1999) #690 (Lizard Variant),690,2012-07-25T00:00:00-0400,Amazing Spider-Man (1999 - 2013),454,3.99
12504,Uncanny X-Men (1963) #54,54,1969-03-10T00:00:00-0500,Uncanny X-Men (1963 - 2011),2258,0.12
13117,Fantastic Four (1961) #30,30,1964-09-10T00:00:00-0400,Fantastic Four (1961 - 1998),2121,0.12
1362,Thanos Vol. 5: Samaritan (Trade Paperback),0,2004-09-08T00:00:00-0400,Thanos Vol. 5: Samaritan (2004),1307,9.99
4307,Marvel Previews (2005) #35,35,2006-06-28T00:00:00-0400,Marvel Previews (2005 - 2007),666,0.99
7375,Cable (1993) #10,10,1994-04-10T00:00:00-0400,Cable (1993 - 2002),1995,2
27455,Marvel Super Hero Squad (2009) #2,2,2009-10-14T00:00:00-0400,Marvel Super Hero Squad (2009 - 2010),8771,2.99
4253,Astonishing X-Men (2004) #15,15,2006-06-21T00:00:00-0400,Astonishing X-Men (2004 - Present),744,2.99
42594,Muppets (2012) #4,4,2012-10-03T00:00:00-0400,Muppets (2012),16266,2.99
4225,She-Hulk (2005) #8,8,2006-05-24T00:00:00-0400,She-Hulk (2005 - 2009),886,2.99
21823,Marvel Adventures Iron Man Vol. 3: Hero by Design (Digest),0,2008-08-27T00:00:00-0400,Marvel Adventures Iron Man Vol. 3: Hero by Design (2008),5406,7.99
9367,Iron Man (1968) #135,135,1980-06-10T00:00:00-0400,Iron Man (1968 - 1996),2029,0.4
12140,What If? (1977) #27,27,1981-07-10T00:00:00-0400,What If? (1977 - 1984),2095,0.75
19719,Marvel Team-Up (1972) #94,94,1980-06-10T00:00:00-0400,Marvel Team-Up (1972 - 1985),3716,0.4
405,Incredible Hulk (1999) #68,68,2004-03-10T00:00:00-0500,Incredible Hulk (1999 - 2008),465,2.25
24199,Amazing Spider-Man Family (2008) #6,6,2009-05-20T00:00:00-0400,Amazing Spider-Man Family (2008 - 2009),5376,4.99
32520,Prelude to Deadpool Corps (2010) #1 (VARIANT),1,2010-03-03T00:00:00-0500,Prelude to Deadpool Corps (2010),9309,3.99
17020,Rawhide Kid (1960) #58,58,1967-06-10T00:00:00-0400,Rawhide Kid (1960 - 1979),2988,0
10343,New Mutants (1983) #1,1,1983-03-10T00:00:00-0500,New Mutants (1983 - 1991),2055,0.6
45850,Avengers (2012) #19 (Cassaday 80s Variant),19,2013-09-11T00:00:00-0400,Avengers (2012 - Present),16452,3.99
20657,Ultimate Iron Man II (2007) #3,3,2008-02-13T00:00:00-0500,Ultimate Iron Man II (2007 - 2008),3179,2.99
14784,"Peter Parker, the Spectacular Spider-Man (1976) #80",80,1983-07-10T00:00:00-0400,"Peter Parker, the Spectacular Spider-Man (1976 - 1998)",2271,0.6
7385,Cable (1993) #12,12,1994-06-10T00:00:00-0400,Cable (1993 - 2002),1995,0
26766,Thunderbolts: Burning Down the House (Hardcover),0,2009-07-15T00:00:00-0400,Thunderbolts: Burning Down the House (2009 - Present),8459,19.99
23472,Sgt. Fury Annual (1965) #6,6,1970-08-10T00:00:00-0400,Sgt. Fury Annual (1965 - 1971),6683,0.25
14566,"Peter Parker, the Spectacular Spider-Man (1976) #120",120,1986-11-10T00:00:00-0500,"Peter Parker, the Spectacular Spider-Man (1976 - 1998)",2271,0.75
40061,Captain America: Red Glare (Hardcover),1,2011-10-05T00:00:00-0400,Captain America: Red Glare (2011 - Present),14866,29.99
20288,Defenders (1972) #122,122,1983-08-10T00:00:00-0400,Defenders (1972 - 1986),3743,0.6
42920,INFERNAL MAN-THING (2010) #1 (Kane Variant),1,2012-07-04T00:00:00-0400,INFERNAL MAN-THING (2010 - 2012),13356,3.99
30205,Strange Tales II (2010) #3,3,2010-12-15T00:00:00-0500,Strange Tales II (2010),9943,4.99
7468,Cable (1993) #88,88,2001-02-01T00:00:00-0500,Cable (1993 - 2002),1995,0
30921,Marvel Zombies 5 (Hardcover),1,2010-10-20T00:00:00-0400,Marvel Zombies 5 (2010),10350,24.99
15364,Thunderbolts (1997) #58,58,-0001-11-30T00:00:00-0500,Thunderbolts (1997 - 2003),2296,0
41698,Marvel Universe Avengers: Earth's Mightiest Heroes (2011) #9,9,2012-12-05T00:00:00-0500,Marvel Universe Avengers: Earth's Mightiest Heroes (2011 - Present),15549,2.99
7449,Cable (1993) #70,70,1999-08-01T00:00:00-0400,Cable (1993 - 2002),1995,1.99
13468,Wolverine Origins (2006) #14,14,2007-05-09T00:00:00-0400,Wolverine Origins (2006 - 2010),2375,2.99
17300,Ultimates 2 (Hardcover),0,2007-11-21T00:00:00-0500,Ultimates 2 (2007),3095,9.99
15615,Daredevil (1998) #15,15,2001-04-01T00:00:00-0500,Daredevil (1998 - 2011),449,0
38019,SPIDER-MAN VS. VAMPIRES (2010) #2,2,1961-01-01T00:00:00-0500,SPIDER-MAN VS. VAMPIRES (2010),13669,0
40487,AVENGERS BY BRIAN MICHAEL BENDIS VOL. 5 PREMIERE HC (Hardcover),0,2013-02-20T00:00:00-0500,AVENGERS BY BRIAN MICHAEL BENDIS VOL. 5 PREMIERE HC (2011 - Present),15024,29.99
15968,New Avengers: Illuminati (2006) #4,4,2007-08-01T00:00:00-0400,New Avengers: Illuminati (2006 - 2008),1137,2.99
7315,Avengers (1963) #64,64,1969-05-10T00:00:00-0400,Avengers (1963 - 1996),1991,0
10337,New Mutants Annual (1984) #3,3,1987-01-03T00:00:00-0500,New Mutants Annual (1984 - 1991),2053,1.25
17486,X-Men: Phoenix - Warsong (0000),0,-0001-11-30T00:00:00-0500,X-Men: Phoenix - Warsong (0000 - Present),3318,0
20393,Defenders (1972) #80,80,1980-02-10T00:00:00-0500,Defenders (1972 - 1986),3743,0.4
16046,Hulk/Wolverine: 6 Hours (2003) #2,2,2003-03-10T00:00:00-0500,Hulk/Wolverine: 6 Hours (2003),2574,2.99
41920,Amazing Spider-Man (1999) #12,12,1961-01-01T00:00:00-0500,Amazing Spider-Man (1999 - 2013),454,0
38724,Heroes for Hire (2010) #1 (FALCON 2ND PRINTING VARIANT),1,2011-01-12T00:00:00-0500,Heroes for Hire (2010 - 2011),13330,3.99
31204,Hercules: Twilight of a God (2010) #2,2,2010-07-08T00:00:00-0400,Hercules: Twilight of a God (2010),9899,3.99
19690,Marvel Team-Up (1972) #68,68,1978-04-10T00:00:00-0500,Marvel Team-Up (1972 - 1985),3716,0.35
30365,Daredevil (1998) #506 (IRON MAN BY DESIGN VARIANT),506,2010-04-14T00:00:00-0400,Daredevil (1998 - 2011),449,0
11980,Web of Spider-Man (1985) #105,105,1993-10-10T00:00:00-0400,Web of Spider-Man (1985 - 1995),2092,1.25
12156,What If? (1977) #41,41,1983-10-10T00:00:00-0400,What If? (1977 - 1984),2095,1
12136,What If? (1977) #23,23,1980-10-10T00:00:00-0400,What If? (1977 - 1984),2095,0.75
8732,Ghost Rider (1973) #26,26,1977-10-10T00:00:00-0400,Ghost Rider (1973 - 1983),2013,0.3
40526,Daken: Dark Wolverine (2010) #22,22,2012-03-14T00:00:00-0400,Daken: Dark Wolverine (2010 - 2012),9368,2.99
