ID,status,sex, real_name, current_alias, image
1009497,Neutral,Man, Alexander Goodwin Pierce ,Alexander Pierce,http://vignette3.wikia.nocookie.net/marveldatabase/images/8/86/Al_Pierce_%28Earth-616%29.jpg
1014990,Neutral,Man, Alice , Alice,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4cd061e6d6573/portrait_incredible.jpg
1009435,Heroes,Woman, Alicia Reiss Masters , Alicia Masters,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c003d40ac7ae/portrait_incredible.jpg
1011227,Neutral,Man, Amadeus Cho ,Hulk,http://i.annihil.us/u/prod/marvel/i/mg/3/80/520288b9cb581/portrait_incredible.jpg
1009567,Neutral,Man, Jimaine Szardos , Jimaine Szardos,http://vignette1.wikia.nocookie.net/marveldatabase/images/b/be/Jimaine_Szardos_%28Earth-616%29_from_Nightcrawler_Vol_4_1_001.png
1011361,Heroes,Man, Jason Strongbow ,American Eagle,http://i.annihil.us/u/prod/marvel/i/mg/f/80/4ce5a6d8b8f2a/portrait_incredible.jpg
1009151,Neutral,Man, Amiko Kobayashi ,Amiko,http://vignette2.wikia.nocookie.net/marveldatabase/images/a/ac/Amiko_Kobayashi_%28Earth-616%29_002.jpg
1010672,Neutral,Man, Amora ,Enchantress,http://vignette1.wikia.nocookie.net/marveldatabase/images/6/60/Amora_%28Earth-616%29_from_Totally_Awesome_Hulk_Vol_1_5_cover.jpg
1010905,Villains,Man, Jon Kasiya ,Amun,http://vignette1.wikia.nocookie.net/marveldatabase/images/b/ba/Amun_%28Jon_Kasiya%29_002.png
1009152,Heroes,Man, Yao  ,Ancient One,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/4ce59ea2103ac/portrait_incredible.jpg
1011396,Heroes,Man, Thomas Halloway , Thomas Halloway,http://i.annihil.us/u/prod/marvel/i/mg/d/03/531769834b15f/portrait_incredible.jpg
1009153,Heroes,Man, Warren Kenneth Worthington III ,Archangel,http://vignette3.wikia.nocookie.net/marveldatabase/images/5/53/Warren_Worthington_III_from_Uncanny_X-Men_Vol_4_1_001.png
1017574,Neutral,Man, Aldrif Odinsdottir ,Angela,http://i.annihil.us/u/prod/marvel/i/mg/7/00/545a82f59dd73/portrait_incredible.jpg
1010674,Neutral,Man, Anita Katerine Blake ,Anita Blake,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0038fa14452/portrait_incredible.jpg
1009346,Neutral,Man, Anne Marie Hoag , Anne Marie Hoag,http://vignette2.wikia.nocookie.net/marveldatabase/images/5/58/Anne_Marie_Hoag_%28Earth-616%29.jpg
1009154,Villains,Man, Annihilus , Annihilus,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/528d31f20a2f6/portrait_incredible.jpg
1011301,Heroes,Man, Victor Vic Borkowski ,Anole,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e635ddd9/portrait_incredible.jpg
1010802,Heroes,Man, Eric O'Grady ,Ant-Man,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/53176aa9df48d/portrait_incredible.jpg
1010801,Heroes,Man, Scott Edward Harris Lang ,Ant-Man,http://i.annihil.us/u/prod/marvel/i/mg/e/20/52696868356a0/portrait_incredible.jpg
1011208,Heroes,Man, Henry Hellrung ,Anthem,http://vignette2.wikia.nocookie.net/marveldatabase/images/e/e4/Henry_Hellrung_%28Earth-616%29_from_The_Order_Vol_1_9_001.jpg
1009156,Villains,Man, En Sabah Nur ,Apocalypse,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/526166076a1d0/portrait_incredible.jpg
1010866,Villains,Man, Peter van Zante ,Aqueduct,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c0035b3630cd/portrait_incredible.jpg
1010773,Heroes,Woman, Julia Eugenia Cornwall Carpenter ,Madame Web ,http://i.annihil.us/u/prod/marvel/i/mg/b/70/5269526591794/portrait_incredible.jpg
1009158,Villains,Man, Unrevealed  ,Arcade,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0042091ab69/portrait_incredible.jpg
1009159,Heroes,Man, Warren Kenneth Worthington III ,Archangel,http://i.annihil.us/u/prod/marvel/i/mg/8/03/526165ed93180/portrait_incredible.jpg
1009160,Villains,Woman, Philippa Sontag ,Arclight,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c0042067fd8b/portrait_incredible.jpg
1010784,Heroes,Man, Ares , Ares,http://i.annihil.us/u/prod/marvel/i/mg/c/10/535ff3daea603/portrait_incredible.jpg
1011275,Neutral,Man, Samantha Destine ,Argent,http://vignette1.wikia.nocookie.net/marveldatabase/images/f/f7/Samantha_Destine_%28Earth-616%29.jpg
1011012,Neutral,Man, Antonio Rodriguez ,Armadillo,http://i.annihil.us/u/prod/marvel/i/mg/2/40/4c0032754da02/portrait_incredible.jpg
1011298,Heroes,Woman, Hisako Ichiki ,Armor,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e6cbf990/portrait_incredible.jpg
1010827,Neutral,Man, Violet Lightner ,Armory,http://vignette2.wikia.nocookie.net/marveldatabase/images/0/09/Violet_Lightner_%28Earth-616%29_0000.jpg
1009740,Villains,Man, Arnim Zola , Arnim Zola,http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c00393a4cb7c/portrait_incredible.jpg
1010748,Heroes,Woman, Gertrude Yorkes ,Gert,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c00359a2be7b/portrait_incredible.jpg
1010835,Villains,Man,Unknown ,Asylum,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010336,Neutral,Man, Erik Stephan Josten ,Atlas,http://vignette4.wikia.nocookie.net/marveldatabase/images/1/15/Erik_Josten_%28Earth-616%29.png
1009163,Heroes,Woman, Jeanne-Marie Beaubier ,Aurora,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c004203f1072/portrait_incredible.jpg
1009164,Villains,Man, Dominikos Ioannis Petrakis  ,Avalanche,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c0042010d383/portrait_incredible.jpg
1011766,Villains,Man, Azazel , Azazel,http://vignette3.wikia.nocookie.net/marveldatabase/images/7/70/Azazel_%28Earth-616%29_AMX2013001.jpg
1009168,Heroes,Man, Sean Cassidy ,Banshee,http://i.annihil.us/u/prod/marvel/i/mg/b/03/52740e4619f54/portrait_incredible.jpg
1009596,Heroes,Woman, Theresa Maeve Rourke Cassidy ,Morrigan ,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4ce5a1a50e56b/portrait_incredible.jpg
1009169,Villains,Man, Wolfgang von Strucker ,Baron von Strucker,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0041fb5a90d/portrait_incredible.jpg
1009170,Villains,Man, Heinrich Zemo ,Baron Zemo,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c0041f84c9fe/portrait_incredible.jpg
1010906,Heroes,Man, Helmut J. Zemo ,Baron Zemo,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035890fb0a/portrait_incredible.jpg
1011137,Villains,Woman, S'Bak ,Baroness S'Bak,http://vignette2.wikia.nocookie.net/marveldatabase/images/0/03/S%27Bak_%28Earth-616%29.jpg
1009550,Neutral,Man, Bart Rozum , Bart Rozum,http://vignette2.wikia.nocookie.net/marveldatabase/images/2/22/BartRozum-Earth616.jpg
1009171,Villains,Man, Sebastion Gilberti  (adopted name) ,Bastion,http://i.annihil.us/u/prod/marvel/i/mg/d/80/52695253215f4/portrait_incredible.jpg
1009172,Villains,Man, Georges Batroc ,Batroc the Leaper,http://i.annihil.us/u/prod/marvel/i/mg/c/80/4ce59eb840da5/portrait_incredible.jpg
1009173,Heroes,Man,Unknown ,Battering Ram,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708/portrait_incredible.jpg
1009174,Heroes,Man, Barnell Bohusk ,Barry Bohusk,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c0040b8329ad/portrait_incredible.jpg
1009175,Heroes,Man, Dr. Henry Hank Philip McCoy ,Beast,http://i.annihil.us/u/prod/marvel/i/mg/2/80/511a79a0451a3/portrait_incredible.jpg
1009177,Neutral,Man, Jesse Aaronson ,Bedlam,http://vignette2.wikia.nocookie.net/marveldatabase/images/d/d8/Jesse_Aaronson_%28Earth-616%29.jpg
1009178,Villains,Man, Buford Wilson ,Beef,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708/portrait_incredible.jpg
1009179,Neutral,Man, Abner Ronald Jenkins ,Mach-VII,http://vignette3.wikia.nocookie.net/marveldatabase/images/0/0a/Abner_Jenkins_%28Earth-616%29_as_Mach-VII.jpeg
1009329,Neutral,Man, Benjamin Jacob Grimm ,Thing,http://vignette4.wikia.nocookie.net/marveldatabase/images/1/10/Benjamin_Grimm_%28Earth-616%29_from_Guardians_of_the_Galaxy_Vol_4_7_001.jpg
1011181,Heroes,Woman, Azura) , Thena (changed by royal decree from her original name,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/4c002f2a83a8c/portrait_incredible.jpg
1011181,Heroes,Woman, Azura) , Azura),http://i.annihil.us/u/prod/marvel/i/mg/8/a0/4c002f2a83a8c/portrait_incredible.jpg
1009662,Heroes,Man, Benjamin Jacob Grimm ,Thing,http://i.annihil.us/u/prod/marvel/i/mg/9/00/527bb4d36b5c2/portrait_incredible.jpg
1009664,Heroes,Man, Thor Odinson , Thor Odinson,http://i.annihil.us/u/prod/marvel/i/mg/d/d0/5269657a74350/portrait_incredible.jpg
1017576,Neutral,Man, Jane Foster ,Thor,http://i.annihil.us/u/prod/marvel/i/mg/4/10/545a857a38f92/portrait_incredible.jpg
1010820,Heroes,Woman, Tarene ,Designate ,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/526957cdcf6d1/portrait_incredible.jpg
1010885,Villains,Man, Eliot Franklin ,Thunderball,http://vignette2.wikia.nocookie.net/marveldatabase/images/c/c5/Eliot_Franklin_%28Earth-616%29_from_New_Avengers_Vol_1_56.JPG
1009666,Heroes,Man, John Proudstar ,Thunderbird,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/4c003aa43b1ec/portrait_incredible.jpg
1009667,Heroes,Man, Neal Shaara ,Thunderbird,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4c003aa0d9cf9/portrait_incredible.jpg
1009668,Neutral,Man, Luis Barrett ,Thunderbolt,http://vignette4.wikia.nocookie.net/marveldatabase/images/d/d5/Luis_Barrett_%28Earth-616%29_1.jpg
1014812,Neutral,Man, Thaddeus E. Thunderbolt Ross ,Gen. Thunderbolt Ross,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/4ce59e13db02c/portrait_incredible.jpg
1009669,Villains,Man, Todd Arliss ,Tiger Shark,http://i.annihil.us/u/prod/marvel/i/mg/9/10/4c003a9db2f77/portrait_incredible.jpg
1011237,Neutral,Man, Li Hua ,Tiger's Beautiful Daughter,http://i.annihil.us/u/prod/marvel/i/mg/9/80/4ce5a59d27a81/portrait_incredible.jpg
1009670,Heroes,Woman, Greer Grant Nelson ,Tigra,http://i.annihil.us/u/prod/marvel/i/mg/3/e0/526957bb909b3/portrait_incredible.jpg
1010857,Neutral,Woman, Rina Patel ,Timeslip,http://vignette1.wikia.nocookie.net/marveldatabase/images/0/06/Timeslip_%28by_Patrick_Zircher%29.jpg
1011345,Villains,Man, Phineas T. Mason ,Tinkerer,http://i.annihil.us/u/prod/marvel/i/mg/b/60/4c002e3aaf52e/portrait_incredible.jpg
1010669,Villains,Woman, Mary MacPherran ,Titania,http://i.annihil.us/u/prod/marvel/i/mg/1/20/526957a91a469/portrait_incredible.jpg
1009672,Villains,Man, Boris Bullski ,Titanium Man,http://i.annihil.us/u/prod/marvel/i/mg/6/b0/528d368ab3f46/portrait_incredible.jpg
1009673,Villains,Man, Mortimer Toynbee ,Toad,http://i.annihil.us/u/prod/marvel/i/mg/e/f0/53ad8faa127fa/portrait_incredible.jpg
1009675,Villains,Man, Lonnie Thompson Lincoln ,Tombstone,http://i.annihil.us/u/prod/marvel/i/mg/3/40/4c003a981c496/portrait_incredible.jpg
1009624,Neutral,Man, Anthony Edward Tony Stark ,Iron Man,http://vignette2.wikia.nocookie.net/marveldatabase/images/c/cb/Invincible_Iron_Man_Vol_2_2_Textless.jpg
1011309,Heroes,Man, Thomas Raymond ,Toro,http://i.annihil.us/u/prod/marvel/i/mg/6/10/4e7a2165364ca/portrait_incredible.jpg
1009676,Heroes,Man, Patrick Paddy Mulligan  ,Toxin,http://i.annihil.us/u/prod/marvel/i/mg/6/30/4c003a94e668a/portrait_incredible.jpg
1009692,Villains,Man, Edward Charles Allan Brock ,Toxin,http://i.annihil.us/u/prod/marvel/i/mg/9/80/52bc827d4ed09/portrait_incredible.jpg
1010822,Heroes,Man, Terrance Ward ,Trauma,http://i.annihil.us/u/prod/marvel/i/mg/a/00/528d367cdee38/portrait_incredible.jpg
1010825,Heroes,Man, Delroy Garrett Jr. ,3-D Man,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4c7c64195cbb9/portrait_incredible.jpg
1009671,Neutral,Man, Patricia Trish Tilby ,Trish Tilby,http://vignette3.wikia.nocookie.net/marveldatabase/images/a/aa/Patricia_Tilby_%28Earth-616%29-Uncanny_X-Men_Vol_1_342_001.jpg
1010335,Heroes,Man,Unknown ,Triton,http://i.annihil.us/u/prod/marvel/i/mg/6/90/528d367108dfb/portrait_incredible.jpg
1011047,Heroes,Woman, Michiko Mickey Musashi ,Turbo,http://i.annihil.us/u/prod/marvel/i/mg/b/00/4c00322ddea0c/portrait_incredible.jpg
1009678,Neutral,Man, Tusk , Tusk,http://vignette2.wikia.nocookie.net/marveldatabase/images/c/cc/Tusk_%28Earth-616%29_from_Uncanny_X-Men_Vol_4_1_001.jpg
1010852,Neutral,Man, Matthew Hawk (possibly born Matthew Liebowicz) ,Two-Gun Kid,http://i.annihil.us/u/prod/marvel/i/mg/9/70/4ce5a390b929b/portrait_incredible.jpg
1009679,Neutral,Man, Jessán Hoan ,Tyger Tiger,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010369,Villains,Woman, Mary Walker  ,Typhoid Mary,http://i.annihil.us/u/prod/marvel/i/mg/1/f0/4c00390aa2403/portrait_incredible.jpg
1009680,Neutral,Man, Romulus Augustulus ,Tyrannus,http://vignette4.wikia.nocookie.net/marveldatabase/images/5/58/Tyrannus_001.jpg
1009681,Heroes,Woman, Edith Constance Sawyer ,U-Go Girl,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/4c003a91d4fe1/portrait_incredible.jpg
1009682,Heroes,Man, John F. Walker ,U.S. Agent,http://i.annihil.us/u/prod/marvel/i/mg/c/90/535febe8b095a/portrait_incredible.jpg
1010358,Neutral,Man, Ulik ,King Ulik,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/4d3f3b2078758/portrait_incredible.jpg
1011311,Villains,Man, Ultimo , Ultimo,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c002e5d2432b/portrait_incredible.jpg
1011125,Neutral,Man,Unknown ,Ultra-Adaptoid,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009685,Villains,Man, Ultron , Ultron,http://i.annihil.us/u/prod/marvel/i/mg/3/70/5261a838e93c0/portrait_incredible.jpg
1009686,Neutral,Woman, Umar ,Umar the Unrelenting,http://vignette1.wikia.nocookie.net/marveldatabase/images/6/61/Umar_%28Earth-616%29_Incredible_Hulks_Vol_1_632.png
1010862,Villains,Man, Milos Masaryk ,Unicorn,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c0035bc1dcf1/portrait_incredible.jpg
1010985,Heroes,Man, Brian Falsworth ,Union Jack,http://vignette4.wikia.nocookie.net/marveldatabase/images/f/fb/Jack_%28Brian_Falsworth%29_002.jpg
1010696,Heroes,Man, Joseph Chapman ,Union Jack,http://i.annihil.us/u/prod/marvel/i/mg/3/40/4c0038d27694a/portrait_incredible.jpg
1010984,Heroes,Man, Lord James Montgomery Falsworth  ,Union Jack,http://i.annihil.us/u/prod/marvel/i/mg/2/10/4c0032a211f54/portrait_incredible.jpg
1009687,Villains,Man, Gunther Bain (legally changed from Angelo Unuscione) ,Unus the Untouchable,http://i.annihil.us/u/prod/marvel/i/mg/6/00/4c003a847f5d2/portrait_incredible.jpg
1009525,Heroes,Woman, Valeria Meghan Richards , Valeria Meghan Richards,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4d541255f088a/portrait_incredible.jpg
1010350,Neutral,Man, Samantha Parrington ,Valkyrie,http://i.annihil.us/u/prod/marvel/i/mg/c/00/535fed8a3a00f/portrait_incredible.jpg
1011182,Heroes,Man,Unknown ,El Vampiro,http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c002f27b9a1e/portrait_incredible.jpg
1011342,Heroes,Man, Vance Astrovik ,Justice,http://vignette1.wikia.nocookie.net/marveldatabase/images/4/40/Vance_Astrovik_%28Earth-616%29_from_New_Warriors_Vol_5_8_0001.png
1011365,Villains,Man, Unknown  ,Vanisher,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011316,Villains,Woman, Ann Darnell ,Vapor,http://i.annihil.us/u/prod/marvel/i/mg/3/40/4c002e541867f/portrait_incredible.jpg
1009690,Villains,Man,Unknown ,Vargas,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c003a81cef50/portrait_incredible.jpg
1010872,Villains,Man, Simon Utrecht ,Vector,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0035a7dd04d/portrait_incredible.jpg
1011231,Heroes,Woman,,,
1009691,Neutral,Man, Michael Badilino ,Vengeance,http://i.annihil.us/u/prod/marvel/i/mg/3/e0/528d3655b9f06/portrait_incredible.jpg
1009663,Neutral,Man, Eugene Flash Thompson ,Venom,http://i.annihil.us/u/prod/marvel/i/mg/7/80/5269668c7d5df/portrait_incredible.jpg
1010788,Villains,Man, MacDonald Mac Gargan ,Scorpion,http://i.annihil.us/u/prod/marvel/i/mg/5/50/531773a2ac20a/portrait_incredible.jpg
1011106,Heroes,Woman,Unknown,Venus ,http://i.annihil.us/u/prod/marvel/i/mg/f/f0/535ff36a8fbef/portrait_incredible.jpg
1009693,Heroes,Woman, Dee Milo ,Venus Dee Milo,http://vignette3.wikia.nocookie.net/marveldatabase/images/0/0f/Dee_Milo_%28Earth-616%29.jpg
1010353,Villains,Man, Edward Whelan ,Vermin,http://i.annihil.us/u/prod/marvel/i/mg/3/b0/528d3638185cb/portrait_incredible.jpg
1009694,Neutral,Woman,Unknown ,Vertigo,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011066,Heroes,Man, Victor Mancha , Victor Mancha,http://i.annihil.us/u/prod/marvel/i/mg/b/10/4c0030f13bcaf/portrait_incredible.jpg
1010324,Neutral,Man, Victor von Doom , Victor von Doom,http://vignette1.wikia.nocookie.net/marveldatabase/images/8/88/Victor_von_Doom_%28Earth-616%29_from_Invincible_Iron_Man_Vol_2_5_001.jpg
1011261,Neutral,Man, Vincent Gonzales ,Vin Gonzales,http://vignette3.wikia.nocookie.net/marveldatabase/images/f/ff/323683-180594-officer-gonzalez.jpg
1009695,Heroes,Woman, James MacDonald Hudson ,Guardian,http://i.annihil.us/u/prod/marvel/i/mg/3/b0/4c003a7f39967/portrait_incredible.jpg
1009696,Villains,Woman, Ophelia Sarkissian  ,Madame Hydra,http://vignette2.wikia.nocookie.net/marveldatabase/images/a/a0/Ophelia_Sarkissian_%28Earth-616%29_from_All-New_X-Men_Vol_1_13.jpg
1010697,Neutral,Man, Virginia Dare , Virginia Dare,http://vignette1.wikia.nocookie.net/marveldatabase/images/8/83/Virginia_Dare_%28Earth-311%29.jpg
1009697,Heroes,Man, Vision ,Vision,http://i.annihil.us/u/prod/marvel/i/mg/9/d0/5111527040594/portrait_incredible.jpg
1009698,Neutral,Man, Myles Alfred ,Vivisector,http://vignette1.wikia.nocookie.net/marveldatabase/images/3/38/Myles_Alfred_%28Earth-616%29_from_Official_Handbook_of_the_Marvel_Universe_A-Z_Vol_1_13.jpg
1011011,Villains,Man, Gabriel Gabe Summers  ,Emperor Vulcan,http://i.annihil.us/u/prod/marvel/i/mg/3/80/528d3629c2a91/portrait_incredible.jpg
1009699,Villains,Man, Adrian Toomes ,Vulture,http://i.annihil.us/u/prod/marvel/i/mg/3/50/4c003a7929d28/portrait_incredible.jpg
1010990,Villains,Man, Raniero Drago  ,Blackie Drago,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c00329c0dc23/portrait_incredible.jpg
1010849,Heroes,Woman, Laurie Collins ,Wallflower,http://vignette2.wikia.nocookie.net/marveldatabase/images/1/16/New_X-Men_Vol_2_12_Textless.jpg
1011290,Heroes,Man, Nicholas Gleason ,Wolf Cub,http://vignette1.wikia.nocookie.net/marveldatabase/images/1/1e/Nicholas_Gleason_%28Earth-616%29_from_Young_X-Men_Vol_1_3_001.png
1009717,Heroes,Woman, Rahne Sinclair (pronounced Rain) ,Wolfsbane,http://i.annihil.us/u/prod/marvel/i/mg/3/70/4c003a687658c/portrait_incredible.jpg
1009718,Heroes,Man, James Howlett ,Wolverine,http://i.annihil.us/u/prod/marvel/i/mg/2/60/537bcaef0f6cf/portrait_incredible.jpg
1009719,Heroes,Man, Simon Williams ,Wonder Man,http://i.annihil.us/u/prod/marvel/i/mg/5/40/4ce5a205a2322/portrait_incredible.jpg
1009720,Heroes,Man, Wong , Wong,http://i.annihil.us/u/prod/marvel/i/mg/6/30/4ce5a21096f17/portrait_incredible.jpg
1010737,Neutral,Man, John Wraith , John Wraith,http://vignette1.wikia.nocookie.net/marveldatabase/images/d/d0/John_Wraith_%28Earth-616%29_004.jpg
1010884,Villains,Man, Dirk Garthwaite ,Wrecker,http://vignette4.wikia.nocookie.net/marveldatabase/images/2/2d/Dirk_Garthwaite_%28Earth-616%29_002.jpg
1009722,Heroes,Woman, Laura Kinney ,Wolverine,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/50fec5ed6f3de/portrait_incredible.jpg
1010804,Heroes,Man, Aaron Stack (Legal name); Z2P45-9-X-51 (Model number)  ,Machine Man,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4c003727804b4/portrait_incredible.jpg
1010804,Heroes,Man,Laura Kinney,X-51,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4c003727804b4/portrait_incredible.jpg
1009723,Neutral,Man, Carl Denti ,X-Cutioner,http://vignette3.wikia.nocookie.net/marveldatabase/images/9/92/X-Cutioner_001.jpg
1011355,Neutral,Man, Sid Ridley ,Captain Midlands,http://vignette3.wikia.nocookie.net/marveldatabase/images/6/6c/Sid_Ridley_%28Earth-616%29.png
